good_bad_flag,pct_ontime,total_ontime,max_active_of_loans,max_approval_duration,bank_name_clients,max_age_at_loan,avg_age_at_loan,employment_status,bank_account_type,total_num_of_loans,termdays
Bad,0,0,2,1.019166667,Skye Bank,27,27.1,Permanent,Savings,3,30
Good,100,2,2,1.010833333,GT Bank,28,27.7,Permanent,Savings,3,15
Bad,50,1,2,1.019722222,Access Bank,25,25.2,Unknown,Savings,3,30
Bad,0,0,2,1.004444444,Access Bank,25,24.9,Permanent,Savings,3,30
Good,100,2,2,1.010555556,Skye Bank,33,33.2,Permanent,Savings,3,30
Bad,50,1,2,1.003611111,GT Bank,26,26.1,Permanent,Savings,3,30
Good,100,2,2,1.003888889,GT Bank,37,36.8,Unknown,Savings,3,30
Good,100,2,2,1.004722222,GT Bank,26,26.4,Unknown,Savings,3,15
Good,100,2,2,1.018333333,GT Bank,40,40.3,Permanent,Savings,3,30
Good,50,1,2,1.003333333,First Bank,39,39.1,Permanent,Savings,3,15
Good,100,2,2,1.005,UBA,37,37.4,Permanent,Savings,3,30
Good,50,1,2,1.0025,GT Bank,42,42.3,Unknown,Savings,3,15
Good,50,1,2,1.002222222,First Bank,51,50.6,Permanent,Savings,3,30
Good,50,1,2,1.019166667,First Bank,26,26.2,Unknown,Savings,3,15
Good,100,2,2,1.018888889,UBA,30,29.5,Permanent,Savings,3,30
Good,100,2,2,1.002777778,Stanbic IBTC,34,33.9,Unknown,Savings,3,30
Bad,50,1,2,1.003888889,Access Bank,30,30,Permanent,Savings,3,30
Good,100,2,2,1.021666667,GT Bank,37,36.8,Permanent,Savings,3,15
Good,50,1,2,1.002222222,Access Bank,27,26.7,Permanent,Savings,3,30
Good,100,2,2,1.004444444,GT Bank,35,35,Self-Employed,Savings,3,15
Good,50,1,2,1.018888889,GT Bank,22,21.7,Self-Employed,Other,3,30
Good,100,2,2,1.019166667,Zenith Bank,27,27.2,Permanent,Other,3,30
Good,100,2,2,1.018888889,Fidelity Bank,24,23.9,Unknown,Other,3,30
Good,50,1,2,1.004166667,EcoBank,28,27.5,Permanent,Savings,3,30
Good,50,1,2,1.02,GT Bank,23,22.6,Unknown,Savings,3,30
Good,50,1,2,1.02,First Bank,43,42.7,Permanent,Other,3,30
Good,100,2,2,1.018888889,Access Bank,27,27.3,Permanent,Savings,3,30
Bad,0,0,2,1.002222222,GT Bank,33,32.9,Self-Employed,Savings,3,30
Good,100,2,2,1.019444444,GT Bank,39,39.1,Permanent,Savings,3,15
Good,100,2,2,1.020277778,GT Bank,29,28.9,Permanent,Savings,3,15
Good,50,1,2,1.020833333,GT Bank,24,23.5,Student,Other,3,30
Good,100,2,2,1.005555556,GT Bank,36,35.1,Self-Employed,Other,3,30
Good,50,1,2,1.018888889,EcoBank,43,42.6,Permanent,Other,3,30
Good,50,1,2,1.005555556,EcoBank,25,24.3,Permanent,Savings,3,30
Good,100,2,2,1.019722222,Zenith Bank,40,39.7,Self-Employed,Other,3,15
Good,100,2,2,1.018333333,Stanbic IBTC,34,33.7,Self-Employed,Savings,3,30
Good,50,1,2,1.02,GT Bank,29,28.8,Permanent,Savings,3,15
Good,100,2,2,1.003333333,First Bank,25,25.2,Permanent,Savings,3,30
Good,100,2,2,1.003055556,Diamond Bank,34,33.9,Permanent,Savings,3,30
Bad,0,0,2,1.019722222,Zenith Bank,54,53.5,Unknown,Savings,3,15
Bad,50,1,2,1.018611111,GT Bank,25,25.2,Permanent,Other,3,30
Good,100,2,2,1.019722222,GT Bank,30,30.2,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,UBA,28,27.5,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,GT Bank,26,26.3,Unknown,Savings,3,15
Good,100,2,2,1.018888889,Fidelity Bank,28,28.2,Permanent,Savings,3,15
Good,50,1,2,1.020833333,GT Bank,29,28.9,Permanent,Savings,3,15
Good,100,2,2,1.019444444,GT Bank,49,49.4,Permanent,Savings,3,30
Good,100,2,2,1.020277778,GT Bank,41,40.2,Permanent,Other,3,15
Good,100,2,2,1.018888889,GT Bank,40,40.1,Permanent,Savings,3,30
Good,50,1,2,1.003333333,Union Bank,29,29.1,Permanent,Savings,3,30
Good,100,2,2,1.019166667,UBA,46,45.8,Permanent,Other,3,30
Good,100,2,2,1.018888889,Access Bank,31,31.4,Unknown,Savings,3,30
Bad,0,0,2,1.018888889,Fidelity Bank,36,35.6,Unknown,Savings,3,15
Good,50,1,2,1.018888889,GT Bank,28,27.9,Permanent,Savings,3,30
Bad,50,1,2,1.018611111,First Bank,29,29,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,25,24.6,Permanent,Savings,3,15
Good,50,1,2,1.014722222,Access Bank,22,21.5,Permanent,Savings,3,15
Good,100,2,2,1.001944444,Access Bank,35,35.3,Permanent,Savings,3,30
Good,50,1,2,1.02,Access Bank,30,30.4,Permanent,Savings,3,30
Bad,50,1,2,1.019166667,First Bank,32,31.7,Permanent,Savings,3,15
Bad,50,1,2,1.003888889,UBA,32,31.5,Permanent,Savings,3,30
Good,100,2,2,1.003888889,GT Bank,33,33.1,Permanent,Savings,3,30
Good,50,1,2,1.018611111,Access Bank,27,27,ContractRetiredUnemployed,Savings,3,30
Bad,50,1,2,1.019722222,FCMB,24,24.1,Unknown,Savings,3,15
Good,50,1,2,1.003611111,Access Bank,26,26.4,Permanent,Savings,3,30
Good,50,1,2,1.003888889,First Bank,30,29.7,Self-Employed,Other,3,15
Good,100,2,2,1.018611111,GT Bank,42,42.2,Unknown,Savings,3,15
Good,100,2,2,1.019722222,First Bank,38,38.1,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Diamond Bank,31,31.1,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Zenith Bank,44,43.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,32,32.1,Permanent,Savings,3,30
Bad,0,0,2,1.019166667,Access Bank,50,49.6,Permanent,Savings,3,15
Bad,50,1,2,1.019166667,GT Bank,40,39.6,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Access Bank,25,25.2,Student,Savings,3,15
Good,100,2,2,1.02,GT Bank,30,30,Permanent,Savings,3,15
Good,50,1,2,1.020277778,GT Bank,35,35,Permanent,Savings,3,30
Good,100,2,2,1.020277778,Stanbic IBTC,30,29.9,Permanent,Savings,3,15
Bad,50,1,2,1.018611111,UBA,23,22.6,Permanent,Savings,3,30
Good,50,1,2,1.003333333,GT Bank,36,35.7,Unknown,Savings,3,30
Good,100,2,2,1.003888889,Zenith Bank,25,24.8,Unknown,Savings,3,15
Good,50,1,2,1.018611111,GT Bank,30,29.8,Permanent,Other,3,30
Good,100,2,2,1.019722222,Access Bank,31,31.3,Unknown,Savings,3,15
Good,100,2,2,1.020277778,First Bank,26,25.8,Permanent,Other,3,15
Bad,0,0,2,1.004166667,First Bank,39,38.6,Permanent,Savings,3,30
Good,100,2,2,1.019444444,Zenith Bank,37,37.4,Unknown,Savings,3,30
Good,100,2,2,1.020277778,GT Bank,31,30.9,Permanent,Savings,3,15
Good,100,2,2,1.019166667,GT Bank,40,40,Unknown,Savings,3,30
Good,100,2,2,1.018888889,UBA,31,30.7,Permanent,Savings,3,15
Good,50,1,2,1.018888889,FCMB,31,30.5,Permanent,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,38,38.2,Unknown,Savings,3,15
Good,100,2,2,1.001944444,Diamond Bank,43,42.9,Unknown,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,43,43.4,Permanent,Savings,3,30
Good,50,1,2,1.019166667,GT Bank,31,31.1,Permanent,Savings,3,15
Bad,0,0,2,1.018611111,GT Bank,23,22.7,Permanent,Other,3,30
Good,50,1,2,1.019166667,GT Bank,47,47,Permanent,Savings,3,15
Good,100,2,2,1.005833333,Access Bank,33,32.5,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,30,29.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,44,43.7,Permanent,Savings,3,30
Good,100,2,2,1.0025,GT Bank,36,35.6,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Access Bank,42,42.2,Unknown,Savings,3,30
Good,100,2,2,1.019166667,First Bank,38,38.1,Permanent,Savings,3,30
Good,100,2,2,1.02,Stanbic IBTC,50,50,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,GT Bank,36,36.4,Permanent,Savings,3,15
Bad,0,0,2,1.642777778,UBA,31,30.6,Permanent,Savings,3,30
Good,100,2,2,1.003333333,Zenith Bank,27,26.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,27,27.4,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,38,38.3,Permanent,Savings,3,30
Good,100,2,2,1.018611111,UBA,31,31.2,Permanent,Savings,3,15
Bad,0,0,2,1.018611111,Access Bank,29,28.6,Unknown,Savings,3,30
Good,100,2,2,1.002222222,GT Bank,47,47,Permanent,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,32,32.1,Permanent,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,43,43,Permanent,Savings,3,30
Good,50,1,2,1.001944444,Access Bank,25,25,Unknown,Savings,3,30
Bad,50,1,2,1.018888889,GT Bank,35,35.3,Unknown,Savings,3,30
Good,50,1,2,1.019444444,First Bank,31,31.4,Unknown,Savings,3,15
Good,100,2,2,1.020277778,GT Bank,32,31.8,Permanent,Other,3,30
Good,50,1,2,1.004722222,First Bank,33,32.9,Permanent,Savings,3,30
Bad,0,0,2,1.018611111,UBA,41,40.9,Unknown,Savings,3,15
Bad,50,1,2,1.019166667,GT Bank,33,33.4,Unknown,Savings,3,30
Good,100,2,2,1.003611111,GT Bank,32,32.3,Permanent,Savings,3,30
Good,100,2,2,1.03,GT Bank,31,31,Permanent,Savings,3,15
Good,50,1,2,1.018888889,GT Bank,27,27.2,Permanent,Savings,3,30
Bad,50,1,2,1.004166667,Access Bank,35,35.3,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,35,35.1,Unknown,Savings,3,15
Good,100,2,2,1.018611111,GT Bank,42,41.7,Permanent,Savings,3,15
Good,100,2,2,1.018611111,GT Bank,42,41.7,Permanent,Savings,3,15
Good,100,2,2,1.002777778,GT Bank,44,44.1,Unknown,Savings,3,15
Good,100,2,2,1.019166667,GT Bank,23,23.5,Permanent,Savings,3,15
Good,100,2,2,1.019444444,GT Bank,28,28.4,Permanent,Savings,3,15
Good,100,2,2,1.018611111,GT Bank,28,27.5,Student,Savings,3,30
Good,100,2,2,1.019444444,Zenith Bank,42,42.3,Permanent,Savings,3,30
Good,100,2,2,1.005555556,Access Bank,34,34.1,Permanent,Savings,3,15
Good,50,1,2,1.019166667,GT Bank,37,36.9,Permanent,Savings,3,15
Good,100,2,2,1.019166667,Access Bank,37,36.6,Unknown,Savings,3,30
Bad,50,1,2,1.018888889,Skye Bank,39,39.4,Unknown,Savings,3,15
Good,50,1,2,1.019722222,GT Bank,37,37.1,Permanent,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,31,31.1,Permanent,Savings,3,30
Bad,50,1,2,1.018888889,Access Bank,31,30.7,Permanent,Savings,3,15
Good,100,2,2,1.002222222,Access Bank,32,31.8,Unknown,Savings,3,15
Good,100,2,2,1.019166667,GT Bank,30,29.8,Permanent,Savings,3,15
Good,100,2,2,1.018888889,Stanbic IBTC,28,27.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,First Bank,33,33.3,Permanent,Savings,3,30
Bad,50,1,2,1.018888889,EcoBank,41,41.4,Permanent,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,33,33.3,Unknown,Savings,3,15
Bad,50,1,2,1.004166667,Diamond Bank,33,32.7,Unknown,Savings,3,30
Good,100,2,2,1.004444444,Zenith Bank,39,38.8,Unknown,Savings,3,30
Bad,50,1,2,1.018888889,GT Bank,27,26.7,Unknown,Savings,3,30
Good,100,2,2,1.019444444,EcoBank,33,33.2,Permanent,Savings,3,30
Good,50,1,2,1.003333333,Zenith Bank,37,36.9,Unknown,Savings,3,15
Good,100,2,2,1.019444444,Stanbic IBTC,27,27,Unknown,Savings,3,15
Bad,0,0,2,1.018888889,Access Bank,38,37.6,Permanent,Savings,3,30
Good,100,2,2,1.003611111,Access Bank,28,27.8,ContractRetiredUnemployed,Savings,3,15
Good,100,2,2,1.002222222,First Bank,29,28.7,Permanent,Savings,3,15
Good,100,2,2,1.018611111,Sterling Bank,42,42.3,Permanent,Other,3,30
Good,100,2,2,1.003888889,GT Bank,30,30.4,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,35,35.1,Permanent,Savings,3,30
Good,100,2,2,1.003888889,Access Bank,30,30.4,Permanent,Savings,3,30
Good,100,2,2,1.02,EcoBank,34,34.2,Permanent,Savings,3,30
Good,50,1,2,1.020555556,GT Bank,39,38.7,Unknown,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,47,47.3,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,32,32,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,36,36.2,Permanent,Savings,3,30
Bad,0,0,2,1.003055556,Access Bank,34,33.4,Permanent,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,39,38.8,Permanent,Savings,3,30
Bad,0,0,2,1.018611111,UBA,23,22.9,Permanent,Savings,3,30
Bad,0,0,2,1.003611111,GT Bank,32,31.6,Permanent,Savings,3,30
Good,50,1,2,1.004722222,GT Bank,29,29.1,Unknown,Savings,3,15
Good,50,1,2,1.018611111,First Bank,41,41,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Sterling Bank,30,30,Permanent,Savings,3,30
Good,100,2,2,1.003888889,UBA,31,30.5,Permanent,Savings,3,30
Good,50,1,2,1.018888889,UBA,26,25.8,Unknown,Savings,3,15
Good,100,2,2,1.001944444,First Bank,31,31.1,Permanent,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,23,22.3,Student,Savings,3,15
Good,100,2,2,1.019166667,Diamond Bank,38,37.8,Unknown,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,27,27.1,Permanent,Other,3,15
Good,100,2,2,1.019166667,GT Bank,30,30.4,Permanent,Savings,3,30
Good,100,2,2,1.019444444,Stanbic IBTC,23,23.4,Student,Savings,3,15
Bad,0,0,2,1.020555556,UBA,48,47.6,Permanent,Savings,2,30
Good,100,2,2,1.019444444,EcoBank,42,41.8,Permanent,Savings,3,15
Good,100,2,2,1.007777778,Access Bank,32,31.9,Permanent,Savings,3,30
Bad,0,0,2,1.002222222,Skye Bank,26,25.8,Permanent,Savings,3,15
Good,100,2,2,1.020833333,GT Bank,28,27.7,Unknown,Savings,3,15
Good,50,1,2,1.003055556,GT Bank,31,31.1,Permanent,Savings,3,30
Bad,50,1,2,1.019166667,Skye Bank,35,34.5,Permanent,Savings,3,30
Bad,50,1,2,1.019166667,Skye Bank,35,34.5,Permanent,Savings,3,30
Good,100,2,2,1.019444444,Access Bank,45,45.2,Unknown,Savings,3,15
Good,100,2,2,1.018888889,Access Bank,42,42.1,Permanent,Savings,3,30
Bad,50,1,2,1.020277778,GT Bank,29,29.2,Permanent,Savings,3,15
Good,100,2,2,1.001944444,Diamond Bank,36,35.6,Permanent,Savings,3,15
Bad,50,1,2,1.001944444,GT Bank,23,22.7,Permanent,Savings,3,15
Good,100,2,2,1.018888889,Zenith Bank,26,26.1,Student,Savings,3,30
Good,100,2,2,1.018888889,Stanbic IBTC,28,28.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,38,37.6,Permanent,Savings,3,30
Good,50,1,2,1.005277778,GT Bank,38,37.7,Permanent,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,45,44.6,Unknown,Savings,3,30
Good,100,2,2,1.019444444,Zenith Bank,32,31.6,Permanent,Savings,3,15
Good,100,2,2,1.003333333,First Bank,34,34.3,Permanent,Savings,3,15
Good,100,2,2,1.018888889,Access Bank,38,38.2,Unknown,Savings,3,30
Good,100,2,2,1.0025,Access Bank,37,36.7,ContractRetiredUnemployed,Savings,3,30
Good,50,1,2,1.019722222,Access Bank,31,30.7,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Zenith Bank,23,23.2,Permanent,Savings,3,15
Good,100,2,2,1.002222222,GT Bank,39,38.8,Permanent,Savings,3,15
Good,50,1,2,1.019444444,GT Bank,30,30.3,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,GT Bank,29,28.6,Permanent,Savings,3,15
Good,100,2,2,1.02,GT Bank,31,31.3,Permanent,Savings,3,30
Good,50,1,2,1.018888889,First Bank,33,33.4,Permanent,Savings,3,15
Good,100,2,2,1.003611111,Diamond Bank,30,30.4,Permanent,Savings,3,30
Good,100,2,2,1.002222222,Stanbic IBTC,34,33.7,Permanent,Savings,3,30
Bad,0,0,2,1.019444444,UBA,31,30.6,Permanent,Savings,3,30
Good,100,2,2,1.019444444,Stanbic IBTC,25,24.6,Permanent,Savings,3,30
Bad,0,0,2,1.003611111,GT Bank,39,38.6,Unknown,Savings,3,30
Good,100,2,2,1.593611111,Sterling Bank,32,31.8,Permanent,Savings,3,15
Good,100,2,2,1.004166667,UBA,41,41.4,Permanent,Savings,3,15
Good,100,2,2,1.002222222,Sterling Bank,29,29.3,Permanent,Savings,3,15
Good,100,2,2,1.019444444,Fidelity Bank,34,33.8,Permanent,Other,3,30
Good,50,1,2,1.018888889,Zenith Bank,29,29.2,Unknown,Savings,3,30
Good,50,1,2,1.001944444,Sterling Bank,31,31.1,Permanent,Savings,3,30
Good,50,1,2,1.018611111,Diamond Bank,28,27.7,Permanent,Savings,3,30
Good,100,2,2,1.003888889,First Bank,28,27.6,Permanent,Savings,3,30
Bad,0,0,2,1.003888889,Fidelity Bank,30,30.2,Unknown,Savings,3,30
Bad,50,1,2,1.019166667,GT Bank,34,34.1,Unknown,Savings,3,30
Bad,50,1,2,1.019166667,Access Bank,43,43.2,Permanent,Other,3,15
Bad,0,0,2,1.003333333,Sterling Bank,26,25.4,Self-Employed,Savings,3,15
Bad,50,1,2,1.018888889,Access Bank,33,32.5,Permanent,Savings,3,30
Good,50,1,2,1.02,Access Bank,27,26.6,Self-Employed,Savings,3,30
Bad,50,1,2,1.018888889,GT Bank,39,38.9,Permanent,Savings,3,15
Bad,0,0,2,1.005,GT Bank,36,36.2,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Zenith Bank,31,31,Permanent,Savings,3,30
Good,100,2,2,1.019444444,GT Bank,29,29.3,Permanent,Savings,3,30
Good,50,1,2,1.002222222,First Bank,33,32.8,Permanent,Savings,3,15
Bad,0,0,2,1.018611111,GT Bank,31,30.6,Permanent,Savings,3,15
Good,100,2,2,1.019166667,Access Bank,33,32.8,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,45,45.4,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,30,30,Permanent,Savings,3,15
Good,50,1,2,1.018888889,Stanbic IBTC,41,41.2,Unknown,Savings,3,15
Good,100,2,2,1.018611111,GT Bank,31,30.8,Permanent,Savings,3,15
Good,100,2,2,1.018611111,Diamond Bank,25,24.9,Permanent,Savings,3,30
Bad,50,1,2,1.018888889,GT Bank,38,38,Unknown,Savings,3,30
Bad,50,1,2,1.019166667,GT Bank,32,32.3,Unknown,Savings,3,30
Good,100,2,2,1.003888889,Sterling Bank,37,37.2,Permanent,Savings,3,30
Good,100,2,2,1.020277778,EcoBank,28,28.1,Permanent,Savings,3,30
Good,100,2,2,1.003611111,FCMB,28,27.7,Unknown,Savings,3,30
Good,50,1,2,1.019722222,Access Bank,30,30,Permanent,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,28,27.7,Permanent,Savings,3,15
Good,100,2,2,1.019444444,EcoBank,39,38.3,Permanent,Savings,3,15
Good,50,1,2,1.019166667,GT Bank,33,32.6,Permanent,Other,3,15
Bad,0,0,2,1.02,GT Bank,28,27.7,Permanent,Savings,3,30
Bad,0,0,2,1.005,Zenith Bank,22,21.9,Unknown,Savings,3,30
Bad,0,0,2,1.02,UBA,37,36.5,Permanent,Savings,3,15
Good,100,2,2,1.004444444,First Bank,37,37.4,Permanent,Savings,3,30
Good,50,1,2,1.02,GT Bank,32,31.4,Permanent,Savings,3,30
Bad,0,0,2,1.001944444,Diamond Bank,33,33.4,Permanent,Savings,3,30
Good,50,1,2,1.794166667,GT Bank,28,27.8,Permanent,Savings,3,30
Good,50,1,2,1.004444444,GT Bank,27,27.3,Permanent,Savings,3,30
Good,100,2,2,1.003055556,GT Bank,41,40.7,Permanent,Other,3,30
Good,100,2,2,1.019166667,GT Bank,36,35.5,Permanent,Other,3,30
Good,50,1,2,1.018888889,Fidelity Bank,22,22,Permanent,Other,3,30
Bad,0,0,2,1.0025,Sterling Bank,33,33,Permanent,Savings,3,30
Good,50,1,2,1.006388889,GT Bank,32,31.9,Permanent,Savings,2,30
Bad,50,1,2,1.018888889,GT Bank,42,42,Permanent,Savings,3,30
Good,50,1,2,1.018611111,GT Bank,50,49.6,Permanent,Other,3,30
Good,100,2,2,1.018888889,First Bank,23,23.4,Permanent,Savings,3,30
Good,50,1,2,1.02,GT Bank,29,28.8,Self-Employed,Savings,3,30
Good,66.66666667,2,3,1.018888889,EcoBank,43,42.8,Permanent,Other,5,30
Good,66.66666667,2,3,1.019444444,First Bank,33,33.2,Permanent,Savings,5,60
Good,33.33333333,1,3,1.003055556,Access Bank,30,30.3,Permanent,Savings,6,30
Good,33.33333333,1,3,1.003055556,Access Bank,27,26.6,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.004444444,GT Bank,30,30,Permanent,Savings,6,30
Good,66.66666667,2,3,1.003333333,First Bank,33,33.4,Permanent,Savings,6,30
Good,100,3,3,1.005277778,Stanbic IBTC,34,34.1,Permanent,Savings,6,30
Bad,0,0,3,1.003888889,First Bank,30,29.6,Unknown,Savings,6,15
Good,66.66666667,2,3,1.018888889,UBA,31,30.6,Permanent,Savings,6,30
Good,100,3,3,1.018888889,Access Bank,38,37.4,Unknown,Savings,6,30
Good,66.66666667,2,3,1.018888889,GT Bank,41,40.9,Permanent,Savings,6,15
Bad,0,0,3,1.003888889,GT Bank,37,37,Permanent,Savings,6,30
Good,100,3,3,1.003333333,GT Bank,35,34.6,Permanent,Savings,6,30
Good,100,3,3,1.003611111,GT Bank,28,28.1,Permanent,Savings,6,30
Good,33.33333333,1,3,1.002777778,GT Bank,35,34.6,Unknown,Savings,6,30
Bad,33.33333333,1,3,1.001944444,Sterling Bank,29,29,Permanent,Savings,6,30
Bad,0,0,3,1.02,GT Bank,31,30.9,Unknown,Savings,6,30
Good,100,3,3,1.005833333,GT Bank,37,37.4,Permanent,Savings,6,30
Bad,0,0,3,1.003055556,GT Bank,27,27.1,Unknown,Savings,6,30
Good,100,3,3,1.006666667,Stanbic IBTC,26,26.1,Permanent,Savings,6,30
Good,100,3,3,1.002222222,GT Bank,28,27.5,Permanent,Savings,6,30
Good,66.66666667,2,3,1.001944444,GT Bank,34,33.8,Unknown,Savings,6,15
Good,66.66666667,2,3,3.865,GT Bank,31,30.3,Unknown,Other,6,30
Good,100,3,3,1.019166667,First Bank,25,24.7,Permanent,Savings,6,30
Good,100,3,3,1.018888889,GT Bank,28,28.1,Permanent,Savings,6,30
Bad,0,0,3,1.018611111,Diamond Bank,33,33.3,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.004166667,GT Bank,24,23.7,Permanent,Savings,6,30
Good,100,3,3,1.003888889,Access Bank,33,32.5,Permanent,Savings,6,30
Good,100,3,3,1.002777778,Sterling Bank,27,27.2,Permanent,Savings,6,30
Good,100,3,3,2.055277778,GT Bank,28,28,Permanent,Savings,6,30
Good,66.66666667,2,3,1.445833333,Zenith Bank,31,31.2,Permanent,Savings,6,15
Good,100,3,3,1.018888889,GT Bank,37,36.5,Permanent,Savings,6,15
Good,66.66666667,2,3,1.003333333,Stanbic IBTC,25,25.2,Permanent,Savings,6,30
Good,100,3,3,1.018611111,EcoBank,38,38.1,Unknown,Savings,6,30
Good,100,3,3,1.018888889,First Bank,28,28.3,Permanent,Savings,6,15
Good,100,3,3,1.002777778,GT Bank,30,30.1,Unknown,Savings,6,15
Bad,0,0,3,1.002777778,EcoBank,37,36.6,Permanent,Savings,6,30
Good,66.66666667,2,3,1.002777778,GT Bank,27,27.2,Permanent,Savings,6,15
Good,100,3,3,1.018888889,GT Bank,32,31.9,Permanent,Savings,6,30
Bad,0,0,3,1.001944444,GT Bank,29,28.8,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.019444444,GT Bank,30,30.1,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.004166667,GT Bank,32,32.3,Permanent,Savings,6,30
Good,100,3,3,1.019166667,Sterling Bank,30,29.7,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.021111111,GT Bank,32,32,Permanent,Savings,6,30
Good,100,3,3,1.018888889,First Bank,28,28.1,Unknown,Savings,6,15
Good,66.66666667,2,3,1.018888889,First Bank,44,43.9,Unknown,Savings,6,30
Good,66.66666667,2,3,1.005555556,GT Bank,29,28.8,Permanent,Savings,6,30
Good,66.66666667,2,3,1.003611111,GT Bank,35,35,Permanent,Savings,6,30
Good,100,3,3,1.019166667,Diamond Bank,33,33,Self-Employed,Other,6,15
Bad,66.66666667,2,3,1.004166667,UBA,35,34.9,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.003333333,GT Bank,26,26.1,Permanent,Savings,6,30
Good,100,3,3,1.019166667,EcoBank,30,30.3,Permanent,Savings,6,30
Good,100,3,3,1.005277778,GT Bank,39,38.8,Permanent,Savings,6,30
Bad,0,0,3,1.008333333,GT Bank,26,26.3,Permanent,Savings,6,30
Good,100,3,3,1.018888889,First Bank,52,51.5,Permanent,Savings,6,30
Bad,0,0,3,1.019166667,EcoBank,31,30.8,Permanent,Savings,6,30
Good,100,3,3,1.018888889,UBA,29,29.3,Permanent,Other,6,30
Good,100,3,3,1.018611111,Zenith Bank,36,36.4,Permanent,Savings,6,30
Good,100,3,3,1.003888889,GT Bank,34,34.1,Permanent,Savings,6,30
Good,100,3,3,1.019166667,Zenith Bank,34,33.7,Unknown,Savings,6,30
Good,66.66666667,2,3,1.003611111,Access Bank,29,28.8,Permanent,Savings,6,30
Good,100,3,3,1.002222222,First Bank,37,37.2,Permanent,Savings,6,15
Good,100,3,3,1.005,GT Bank,30,30.3,Permanent,Other,6,15
Good,66.66666667,2,3,1.019166667,UBA,40,40.2,Permanent,Savings,6,30
Good,100,3,3,1.018611111,Diamond Bank,31,30.7,Permanent,Savings,6,30
Good,66.66666667,2,3,1.018888889,GT Bank,32,32.2,Unknown,Savings,6,15
Good,100,3,3,1.018888889,First Bank,38,38.1,Permanent,Savings,6,30
Good,100,3,3,1.003333333,GT Bank,35,34.4,Permanent,Savings,6,30
Good,66.66666667,2,3,1.019444444,GT Bank,31,31,Permanent,Savings,6,30
Good,100,3,3,1.003333333,FCMB,34,34.1,Permanent,Savings,6,30
Good,66.66666667,2,3,1.003055556,Sterling Bank,30,29.9,Permanent,Savings,6,30
Good,100,3,3,1.019166667,FCMB,33,32.5,Permanent,Savings,6,30
Bad,33.33333333,1,3,1.019166667,Fidelity Bank,28,28,Permanent,Savings,6,30
Bad,0,0,3,1.02,Fidelity Bank,40,39.7,Permanent,Savings,6,30
Good,100,3,3,1.003055556,GT Bank,37,37.3,Permanent,Savings,6,15
Bad,33.33333333,1,3,1.003611111,GT Bank,26,25.7,Unknown,Savings,6,30
Bad,0,0,3,1.019166667,Diamond Bank,31,30.8,Permanent,Savings,6,30
Good,66.66666667,2,3,1.003333333,First Bank,30,29.7,Permanent,Savings,6,30
Good,66.66666667,2,3,1.003333333,GT Bank,34,33.8,Unknown,Savings,6,30
