row_id,good_bad_flag,Pct_Ontime,Sum(churn_flag),Max(loannumber),Max(durationforapproval),bank_name_clients,Max(AgeAtTimeofLoan),Mean(AgeAtTimeofLoan),employment_status_clients_reference_only,employment_status_clients_recode,bank_account_type_reference_only,bank_account_recode,Sum(referral_recode),Mean(loannumber),Sum(loannumber),Sum(durationforapproval),Mean(durationforapproval),Max(Interestrate),Mean(Interestrate),Sum(Interestrate),Max(referral_recode),Mean(referral_recode),Max(churn_flag),Mean(churn_flag),Sum(AgeAtTimeofLoan),systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,birthdate,longitude_gps,latitude_gps,bank_branch_clients,level_of_education_clients,Validation,customerid,customerid of PerfDemoCombined_train,referredby
840,Bad,50,1,2,1.019166667,First Bank,32,31.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,0.5,63,301975524,2,27:56.0,27:49.0,10000,11500,15,00:00.0,6.7042028,6.2385599,,,Training,8a858fa95c695f85015c779c6bb8403d,8a858fa95c695f85015c779c6bb8403d,
841,Bad,50,1,2,1.003888889,UBA,32,31.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.005277778,1.002638889,365,365,730,0,0,1,0.5,63,301959703,2,31:26.0,31:21.0,10000,13000,30,00:00.0,3.4380035,6.8334492,,,Test,8a858fa95c695f85015c7433666039ab,8a858fa95c695f85015c7433666039ab,
842,Good,100,2,2,1.003888889,GT Bank,33,33.1,Permanent,Permanent,Savings,Savings,2,1.5,3,2.005833333,1.002916667,365,365,730,1,1,1,1,66,301977478,2,11:53.0,11:46.0,10000,13000,30,00:00.0,7.4999749,9.0307838,,,Test,8a858fa95c695f85015c73059207124e,8a858fa95c695f85015c73059207124e,8a858e875c63d395015c6ef64f313cc2
843,Good,50,1,2,1.018611111,Access Bank,27,27,Unemployed,ContractRetiredUnemployed,Savings,Savings,0,1.5,3,2.021944444,1.010972222,365,365,730,0,0,1,0.5,54,301998287,2,26:14.0,25:07.0,10000,13000,30,00:00.0,5.226981,7.4711703,,,Validation,8a858fa154e2912f0154e914a60a06b3,8a858fa154e2912f0154e914a60a06b3,
844,Bad,50,1,2,1.019722222,FCMB,24,24.1,,Unknown,Savings,Savings,0,1.5,3,2.021388889,1.010694444,365,365,730,0,0,1,0.5,48,301998947,2,28:21.0,28:15.0,10000,11500,15,00:00.0,3.6089587,6.4511203,,,Validation,8a858fa158f8ee8f0158ffc2f0644e78,8a858fa158f8ee8f0158ffc2f0644e78,
845,Good,50,1,2,1.003611111,Access Bank,26,26.4,Permanent,Permanent,Savings,Savings,0,1.5,3,2.005277778,1.002638889,365,365,730,0,0,1,0.5,53,301963191,2,38:22.0,38:16.0,10000,13000,30,00:00.0,3.3652337,6.5463653,OAU ILE IFE,Graduate,Training,8a858fa257d8223c0157f60ebd4d310f,8a858fa257d8223c0157f60ebd4d310f,
846,Good,50,1,2,1.003888889,First Bank,30,29.7,Self-Employed,Self-Employed,Other,Other,0,1.5,3,2.0075,1.00375,365,365,730,0,0,1,0.5,59,301988480,2,48:46.0,48:33.0,10000,11500,15,00:00.0,4.6013034,7.8343909,,,Training,8a858faa56dffac60156f70874ef1dfd,8a858faa56dffac60156f70874ef1dfd,
847,Good,100,2,2,1.018611111,GT Bank,42,42.2,,Unknown,Savings,Savings,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,1,1,84,301967297,2,07:43.0,07:37.0,10000,11500,15,00:00.0,3.2012288,6.794871,,,Training,8a858faa56dffac60156fe48a78656b9,8a858faa56dffac60156fe48a78656b9,
848,Good,100,2,2,1.019722222,First Bank,38,38.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021944444,1.010972222,365,365,730,0,0,1,1,76,302002962,2,42:36.0,42:28.0,10000,13000,30,00:00.0,13.1855688,11.8030729,,,Test,8a858fab5cd5e1a7015cd8d0bbc25cf2,8a858fab5cd5e1a7015cd8d0bbc25cf2,
849,Good,100,2,2,1.018888889,Diamond Bank,31,31.1,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,62,301971830,2,08:50.0,08:44.0,10000,13000,30,00:00.0,3.417237,6.4310038,,,Test,8a858fab5cd5e1a7015cd8dccafc5f05,8a858fab5cd5e1a7015cd8dccafc5f05,8a8189f9528494e4015284e68a250edb
850,Good,50,1,2,1.018888889,Zenith Bank,44,43.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,87,301993045,2,28:36.0,28:29.0,10000,13000,30,00:00.0,7.4853695,9.0549761,,,Validation,8a858fab5cd5e1a7015cd624bb8b1f08,8a858fab5cd5e1a7015cd624bb8b1f08,
851,Good,100,2,2,1.018888889,Access Bank,32,32.1,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,64,301996798,2,53:08.0,53:01.0,10000,13000,30,00:00.0,3.3362157,7.1369042,,,Training,8a858fab5cd5e1a7015ce02279e639a8,8a858fab5cd5e1a7015ce02279e639a8,8a858f265c2187bd015c2686b0ad1782
852,Bad,0,0,2,1.019166667,Access Bank,50,49.6,Permanent,Permanent,Savings,Savings,2,1.5,3,2.021111111,1.010555556,365,365,730,1,1,0,0,99,301989952,2,56:10.0,56:03.0,10000,11500,15,00:00.0,3.3034868,6.5748708,,,Test,8a858fab5cd5e1a7015ce4f4759405e8,8a858fab5cd5e1a7015ce4f4759405e8,8a858fab5cd5e1a7015ce34b7abd0bb2
853,Bad,50,1,2,1.019166667,GT Bank,40,39.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.037777778,1.018888889,365,365,730,0,0,1,0.5,79,301996248,2,40:31.0,39:24.0,10000,13000,30,00:00.0,7.401866,9.1197538,,,Test,8a858fab5cd5e1a7015ce60347f43f55,8a858fab5cd5e1a7015ce60347f43f55,
854,Good,100,2,2,1.019166667,Access Bank,25,25.2,Student,Student,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,1,50,301989390,2,21:29.0,21:22.0,10000,11500,15,00:00.0,2.8868638,6.4234387,,,Training,8a858fad5ccb633e015ccbeb05ae2d2c,8a858fad5ccb633e015ccbeb05ae2d2c,
855,Good,100,2,2,1.02,GT Bank,30,30,Permanent,Permanent,Savings,Savings,2,1.5,3,2.021666667,1.010833333,365,365,730,1,1,1,1,60,301998502,2,35:43.0,35:37.0,10000,11500,15,00:00.0,3.3371601,6.6341039,,,Training,8a858fad5ccb633e015ccc48d4cb3ea8,8a858fad5ccb633e015ccc48d4cb3ea8,8a858f2c59cb2d550159cbf3d0437cb5
856,Good,50,1,2,1.020277778,GT Bank,35,35,Permanent,Permanent,Savings,Savings,2,1.5,3,2.022222222,1.011111111,365,365,730,1,1,1,0.5,70,301999638,2,53:25.0,53:18.0,10000,13000,30,00:00.0,3.9242613,7.3597055,,,Training,8a858fad5ccb633e015ccf104c2b2dcc,8a858fad5ccb633e015ccf104c2b2dcc,8a858fa55cc5dbbc015cc5f1c8930e9a
857,Good,100,2,2,1.020277778,Stanbic IBTC,30,29.9,Permanent,Permanent,Savings,Savings,0,1.5,3,2.0225,1.01125,365,365,730,0,0,1,1,60,302003191,2,54:54.0,54:46.0,10000,11500,15,00:00.0,3.388147,6.4541655,,,Validation,8a858fae59ac8f090159ac9a70b80cb8,8a858fae59ac8f090159ac9a70b80cb8,
858,Bad,50,1,2,1.018611111,UBA,23,22.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021388889,1.010694444,365,365,730,0,0,1,0.5,45,301962704,2,07:43.0,07:33.0,10000,13000,30,00:00.0,7.6468429,11.1564139,,,Training,8a858faf5a28ca05015a31ca3ff82f16,8a858faf5a28ca05015a31ca3ff82f16,
859,Good,50,1,2,1.003333333,GT Bank,36,35.7,,Unknown,Savings,Savings,2,1.5,3,2.004444444,1.002222222,365,365,730,1,1,1,0.5,71,301961092,2,39:21.0,39:17.0,10000,13000,30,00:00.0,3.8612211,7.4571986,,,Validation,8a858faf5c5ec14b015c5efb738127a6,8a858faf5c5ec14b015c5efb738127a6,8a858ec559dbb41a0159dd81258b41c4
860,Good,100,2,2,1.003888889,Zenith Bank,25,24.8,,Unknown,Savings,Savings,0,1.5,3,2.006944444,1.003472222,365,365,730,0,0,1,1,50,301962891,2,55:58.0,55:47.0,10000,11500,15,00:00.0,4.4568504,7.6997523,,,Training,8a858faf56b7821c0156bc7a2d156c16,8a858faf56b7821c0156bc7a2d156c16,
861,Good,50,1,2,1.018611111,GT Bank,30,29.8,Permanent,Permanent,Other,Other,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,1,0.5,60,301968752,2,33:51.0,33:45.0,10000,13000,30,00:00.0,3.3511583,6.5570449,,,Validation,8a858faf5679a838015692cc16b01ce1,8a858faf5679a838015692cc16b01ce1,
862,Good,100,2,2,1.019722222,Access Bank,31,31.3,,Unknown,Savings,Savings,0,1.5,3,2.022222222,1.011111111,365,365,730,0,0,1,1,63,302002270,2,28:56.0,28:47.0,10000,11500,15,00:00.0,7.0352261,4.7894939,,,Validation,8a858fb05d2d03c8015d2e23db9d1560,8a858fb05d2d03c8015d2e23db9d1560,
863,Good,100,2,2,1.020277778,First Bank,26,25.8,Permanent,Permanent,Current,Other,0,1.5,3,2.021944444,1.010972222,365,365,730,0,0,1,1,52,301986895,2,35:56.0,35:50.0,10000,11500,15,00:00.0,7.400596,9.1281608,,,Test,8a858fb05d37685a015d3b62a3ec64ef,8a858fb05d37685a015d3b62a3ec64ef,
864,Bad,0,0,2,1.004166667,First Bank,39,38.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.006111111,1.003055556,365,365,730,0,0,0,0,77,301965700,2,59:49.0,59:42.0,10000,13000,30,00:00.0,6.9800003,4.8623596,,,Training,8a858fb15b34a708015b360a67c61f3a,8a858fb15b34a708015b360a67c61f3a,
865,Good,100,2,2,1.019444444,Zenith Bank,37,37.4,,Unknown,Savings,Savings,2,1.5,3,2.038611111,1.019305556,365,365,730,1,1,1,1,75,302001236,2,54:01.0,52:51.0,10000,13000,30,00:00.0,3.3350749,6.5694416,,,Test,8a858fb15d41fc6b015d46e274915b02,8a858fb15d41fc6b015d46e274915b02,8a858e105bd92644015bdaea61965690
866,Good,100,2,2,1.020277778,GT Bank,31,30.9,Permanent,Permanent,Savings,Savings,0,1.5,3,2.022222222,1.011111111,365,365,730,0,0,1,1,62,301994152,2,55:08.0,55:01.0,10000,11500,15,00:00.0,3.3573419,6.5457178,,,Training,8a858fb15d41fc6b015d420039ec015f,8a858fb15d41fc6b015d420039ec015f,
867,Good,100,2,2,1.019166667,GT Bank,40,40,,Unknown,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,80,302000700,2,30:59.0,30:53.0,10000,13000,30,00:00.0,4.5851395,8.4470865,,,Training,8a858fb25d84a543015d883e60493b62,8a858fb25d84a543015d883e60493b62,8a858e325d60aaf2015d61746b213f1f
868,Good,100,2,2,1.018888889,UBA,31,30.7,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,61,301992479,2,31:13.0,31:06.0,10000,11500,15,00:00.0,7.469685,9.0102911,,,Training,8a858fb55cb15505015cb162a14d053b,8a858fb55cb15505015cb162a14d053b,8a858ed55c63db54015c69c1af982dbf
869,Good,50,1,2,1.018888889,FCMB,31,30.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,0.5,61,301998435,2,55:46.0,55:40.0,10000,11500,15,00:00.0,3.5962988,6.4724876,,,Training,8a858fb75be86585015be8a480303d14,8a858fb75be86585015be8a480303d14,
870,Good,100,2,2,1.018888889,GT Bank,38,38.2,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,1,76,302001409,2,05:39.0,05:31.0,10000,11500,15,00:00.0,7.4791983,9.0346273,,,Test,8a858fb75cf4b2bd015cf5d2df3e489b,8a858fb75cf4b2bd015cf5d2df3e489b,
871,Good,100,2,2,1.001944444,Diamond Bank,43,42.9,,Unknown,Savings,Savings,0,1.5,3,2.003611111,1.001805556,365,365,730,0,0,1,1,86,302000284,2,54:10.0,54:04.0,10000,13000,30,00:00.0,3.9784309,7.3976569,,,Validation,8a858fb75cf4b2bd015cf799030e73c9,8a858fb75cf4b2bd015cf799030e73c9,
872,Good,50,1,2,1.018888889,GT Bank,43,43.4,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,87,301994188,2,19:45.0,19:38.0,10000,13000,30,00:00.0,7.4657167,9.067975,,,Validation,8a858fb85cc5f243015cc61fb4dd2f63,8a858fb85cc5f243015cc61fb4dd2f63,
873,Good,50,1,2,1.019166667,GT Bank,31,31.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,0.5,62,301970865,2,52:54.0,52:49.0,10000,11500,15,00:00.0,6.7843081,6.1570088,,,Test,8a858fb85cc5f243015cc615318026ec,8a858fb85cc5f243015cc615318026ec,
874,Bad,0,0,2,1.018611111,GT Bank,23,22.7,Permanent,Permanent,Other,Other,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,0,0,45,301998634,2,58:15.0,58:08.0,10000,13000,30,00:00.0,3.2402849,6.6835537,,,Test,8a858fb557330de101574e0d803b1042,8a858fb557330de101574e0d803b1042,
875,Good,50,1,2,1.019166667,GT Bank,47,47,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021944444,1.010972222,365,365,730,0,0,1,0.5,94,301999799,2,44:16.0,44:06.0,10000,11500,15,00:00.0,3.3720348,6.5415485,,,Test,8a858fb4563228d201563e3b46c90a86,8a858fb4563228d201563e3b46c90a86,
876,Good,100,2,2,1.005833333,Access Bank,33,32.5,,Unknown,Savings,Savings,0,1.5,3,2.009722222,1.004861111,365,365,730,0,0,1,1,65,301991730,2,02:49.0,02:28.0,10000,11500,15,00:00.0,3.3229955,6.6538756,,,Training,8a858fba5cd5feee015cda4f0fa423b4,8a858fba5cd5feee015cda4f0fa423b4,
877,Good,100,2,2,1.018888889,GT Bank,30,29.7,Permanent,Permanent,Savings,Savings,2,1.5,3,2.021111111,1.010555556,365,365,730,1,1,1,1,59,301968038,2,10:25.0,10:17.0,10000,13000,30,00:00.0,6.2931871,4.923086,,,Training,8a858fba5cd5feee015cda6c1ed22803,8a858fba5cd5feee015cda6c1ed22803,8a858eb75c21a2b9015c34ec66d87d38
878,Good,100,2,2,1.018888889,GT Bank,44,43.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,1,87,301994253,2,03:20.0,03:14.0,10000,13000,30,00:00.0,6.555882,9.6033069,,,Training,8a858fba5cd5feee015cdb7d7d574f0f,8a858fba5cd5feee015cdb7d7d574f0f,
879,Good,100,2,2,1.0025,GT Bank,36,35.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.004722222,1.002361111,365,365,730,0,0,1,1,71,301994078,2,19:56.0,19:47.0,10000,13000,30,00:00.0,4.5846874,7.8167772,,,Training,8a858fba5cd5feee015cdb7399184dc9,8a858fba5cd5feee015cdb7399184dc9,
880,Good,50,1,2,1.018888889,Access Bank,42,42.2,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,0.5,84,301997854,2,55:03.0,54:55.0,10000,13000,30,00:00.0,5.78611,5.5671178,,,Training,8a858fba5cd5feee015ce3c294891874,8a858fba5cd5feee015ce3c294891874,
881,Good,100,2,2,1.019166667,First Bank,38,38.1,Permanent,Permanent,Savings,Savings,2,1.5,3,2.021111111,1.010555556,365,365,730,1,1,1,1,76,301985895,2,18:24.0,18:17.0,10000,13000,30,00:00.0,-77.4416911,39.3221433,,,Test,8a858fba5cd5feee015ce4cfd02f62d8,8a858fba5cd5feee015ce4cfd02f62d8,8a858e1d5cd58f9e015cdfe7c50d380b
882,Good,100,2,2,1.02,Stanbic IBTC,50,50,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021666667,1.010833333,365,365,730,0,0,1,1,100,301968937,2,39:38.0,39:32.0,10000,13000,30,00:00.0,3.3396787,7.1264632,,,Validation,8a858fbc5cc666c8015cc9b715f420a8,8a858fbc5cc666c8015cc9b715f420a8,
883,Bad,0,0,2,1.018888889,GT Bank,36,36.4,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,0,0,73,301977124,2,10:29.0,10:23.0,10000,11500,15,00:00.0,3.4335873,6.8391665,,,Test,8a858fbc5cc666c8015cc96627e2022d,8a858fbc5cc666c8015cc96627e2022d,8a85882653bc51f50153d00a923d26cb
884,Bad,0,0,2,1.642777778,UBA,31,30.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.6475,1.32375,365,365,730,0,0,0,0,61,301971032,2,25:45.0,25:28.0,10000,13000,30,00:00.0,3.3409676,6.5957323,,,Training,8a858fbd5ad1feb0015ad209895209a5,8a858fbd5ad1feb0015ad209895209a5,
885,Good,100,2,2,1.003333333,Zenith Bank,27,26.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.004722222,1.002361111,365,365,730,0,0,1,1,53,301999873,2,36:41.0,36:36.0,10000,13000,30,00:00.0,6.963732,4.8566474,,,Training,8a858fbd5cd6054a015cd7dd84da3b90,8a858fbd5cd6054a015cd7dd84da3b90,
886,Good,100,2,2,1.018888889,Access Bank,27,27.4,,Unknown,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,1,55,301998924,2,20:15.0,20:08.0,10000,11500,15,00:00.0,7.4893653,8.9925904,,,Test,8a858fbd5cd6054a015cd8f744c0531d,8a858fbd5cd6054a015cd8f744c0531d,
887,Good,100,2,2,1.018888889,GT Bank,38,38.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.023055556,1.011527778,365,365,730,0,0,1,1,77,301993119,2,04:32.0,04:17.0,10000,13000,30,00:00.0,3.4555179,6.4345256,,,Test,8a858fbd5cd6054a015cda2e86250976,8a858fbd5cd6054a015cda2e86250976,
888,Good,100,2,2,1.018611111,UBA,31,31.2,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,1,62,301989314,2,44:16.0,44:09.0,10000,11500,15,00:00.0,7.1048555,5.5935137,,,Test,8a858fbd5cd6054a015cda142858051a,8a858fbd5cd6054a015cda142858051a,
889,Bad,0,0,2,1.018611111,Access Bank,29,28.6,,Unknown,Savings,Savings,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,0,0,57,301973168,2,52:50.0,52:44.0,10000,13000,30,00:00.0,3.3510972,6.6138615,,,Training,8a858fbd5cd6054a015cde54dfb866ae,8a858fbd5cd6054a015cde54dfb866ae,
890,Good,100,2,2,1.002222222,GT Bank,47,47,Permanent,Permanent,Savings,Savings,0,1.5,3,2.004166667,1.002083333,365,365,730,0,0,1,1,94,301991179,2,28:55.0,28:48.0,10000,13000,30,00:00.0,3.3649095,6.5928042,,,Test,8a858fbd5cd6054a015ce7f7d2fb32d5,8a858fbd5cd6054a015ce7f7d2fb32d5,
891,Good,50,1,2,1.018888889,GT Bank,32,32.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,0.5,64,301981914,2,40:26.0,40:18.0,10000,11500,15,00:00.0,3.3305495,6.5648266,,,Training,8a858fbd5cd6054a015ce40a0d000a54,8a858fbd5cd6054a015ce40a0d000a54,
892,Bad,0,0,2,1.018888889,GT Bank,43,43,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,0,0,86,302000109,2,15:46.0,15:39.0,10000,13000,30,00:00.0,3.3781128,6.5096069,,,Validation,8a858fbd5cd6054a015ce9193fac3819,8a858fbd5cd6054a015ce9193fac3819,
893,Good,50,1,2,1.001944444,Access Bank,25,25,,Unknown,Savings,Savings,0,1.5,3,2.003611111,1.001805556,365,365,730,0,0,1,0.5,50,301997329,2,35:33.0,35:27.0,10000,13000,30,00:00.0,3.2751027,6.470239,,,Validation,8a858fbf5b3a0b46015b3b145cf86aba,8a858fbf5b3a0b46015b3b145cf86aba,
894,Bad,50,1,2,1.018888889,GT Bank,35,35.3,,Unknown,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,71,301974134,2,24:13.0,24:06.0,10000,13000,30,00:00.0,5.6108072,6.2953705,,,Test,8a858fc05bf7e886015bf849089f3f7c,8a858fc05bf7e886015bf849089f3f7c,
895,Good,50,1,2,1.019444444,First Bank,31,31.4,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,0.5,63,301982760,2,44:11.0,44:05.0,10000,11500,15,00:00.0,3.2266053,6.6042239,,,Test,8a858fc15cd06c32015cd429b6951f35,8a858fc15cd06c32015cd429b6951f35,
896,Good,100,2,2,1.020277778,GT Bank,32,31.8,Permanent,Permanent,Current,Other,0,1.5,3,2.0225,1.01125,365,365,730,0,0,1,1,64,302002775,2,27:16.0,27:08.0,10000,13000,30,00:00.0,3.5080843,6.5919362,,,Test,8a858fc45c5f93be015c5fe9b3bc18d4,8a858fc45c5f93be015c5fe9b3bc18d4,
897,Good,50,1,2,1.004722222,First Bank,33,32.9,Permanent,Permanent,Savings,Savings,0,1.5,3,2.006388889,1.003194444,365,365,730,0,0,1,0.5,66,301963358,2,15:56.0,15:50.0,10000,13000,30,00:00.0,3.4873777,6.6047136,,,Training,8a858fc45c5f93be015c6082c1cc4404,8a858fc45c5f93be015c6082c1cc4404,
898,Bad,0,0,2,1.018611111,UBA,41,40.9,,Unknown,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,0,0,82,301969228,2,21:00.0,20:53.0,10000,11500,15,00:00.0,3.2915333,6.5847393,,,Test,8a858fc45c21da6f015c24e1eefc34ac,8a858fc45c21da6f015c24e1eefc34ac,8a858e345bd96da8015bda7ce5f33ec9
899,Bad,50,1,2,1.019166667,GT Bank,33,33.4,,Unknown,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,67,301999031,2,03:06.0,03:00.0,10000,13000,30,00:00.0,3.227413,6.6985546,,,Training,8a858fc45d4233f2015d46edcac71b83,8a858fc45d4233f2015d46edcac71b83,
900,Good,100,2,2,1.003611111,GT Bank,32,32.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.005833333,1.002916667,365,365,730,0,0,1,1,65,302003446,2,37:56.0,37:43.0,10000,13000,30,00:00.0,3.3189333,6.4450743,,,Training,8a858fc55b00e79e015b022a1350012b,8a858fc55b00e79e015b022a1350012b,
901,Good,100,2,2,1.03,GT Bank,31,31,Permanent,Permanent,Savings,Savings,0,1.5,3,2.032222222,1.016111111,365,365,730,0,0,1,1,62,301992268,2,35:29.0,35:21.0,10000,11500,15,00:00.0,13.1246372,11.8218193,,,Validation,8a858fc55d5b019b015d5b1a5eb20dec,8a858fc55d5b019b015d5b1a5eb20dec,
902,Good,50,1,2,1.018888889,GT Bank,27,27.2,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,0.5,54,301981508,2,21:27.0,21:19.0,10000,13000,30,00:00.0,7.4139709,9.1152283,,,Validation,8a858fc65c7e0e55015c7e2d1b3e10f1,8a858fc65c7e0e55015c7e2d1b3e10f1,
903,Bad,50,1,2,1.004166667,Access Bank,35,35.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.006388889,1.003194444,365,365,730,0,0,1,0.5,71,301979918,2,11:31.0,11:23.0,10000,13000,30,00:00.0,3.5150346,6.4477839,,,Validation,8a858fc65c7e0e55015c7f71c0ec64e0,8a858fc65c7e0e55015c7f71c0ec64e0,
904,Good,100,2,2,1.019166667,GT Bank,35,35.1,,Unknown,Savings,Savings,2,1.5,3,2.021666667,1.010833333,365,365,730,1,1,1,1,70,301989135,2,41:46.0,41:37.0,10000,11500,15,00:00.0,7.0137495,4.8756624,,,Training,8a858fc65cf978f4015cf97cee3a02ce,8a858fc65cf978f4015cf97cee3a02ce,8a858ea75cef5535015cf36a4ef31265
905,Good,100,2,2,1.018611111,GT Bank,42,41.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.02,1.01,365,365,730,0,0,1,1,83,301983655,2,54:58.0,54:53.0,10000,11500,15,00:00.0,7.4376073,9.0889352,,,Test,8a858fc75cd62882015cdaf2f4311b3f,8a858fc75cd62882015cdaf2f4311b3f,
906,Good,100,2,2,1.018611111,GT Bank,42,41.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.02,1.01,365,365,730,0,0,1,1,83,301983655,2,54:58.0,54:53.0,10000,11500,15,00:00.0,7.4376073,9.0889352,,,Training,8a858fc75cd62882015cdaf2f4311b3f,8a858fc75cd62882015cdaf2f4311b3f,
907,Good,100,2,2,1.002777778,GT Bank,44,44.1,,Unknown,Savings,Savings,0,1.5,3,2.005277778,1.002638889,365,365,730,0,0,1,1,88,301994932,2,05:30.0,05:20.0,10000,11500,15,00:00.0,3.3022282,6.6570162,,,Test,8a858fc75cd62882015cdb61263928d6,8a858fc75cd62882015cdb61263928d6,
908,Good,100,2,2,1.019166667,GT Bank,23,23.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,1,47,302000745,2,50:17.0,50:11.0,10000,11500,15,00:00.0,3.4179771,6.4411578,,,Training,8a858fc75cd62882015cdf944e017b50,8a858fc75cd62882015cdf944e017b50,
909,Good,100,2,2,1.019444444,GT Bank,28,28.4,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021388889,1.010694444,365,365,730,0,0,1,1,57,301978099,2,55:49.0,55:42.0,10000,11500,15,00:00.0,3.3758974,6.5255664,,,Training,8a858fc75cd62882015ce8c205ed5e94,8a858fc75cd62882015ce8c205ed5e94,
910,Good,100,2,2,1.018611111,GT Bank,28,27.5,Student,Student,Savings,Savings,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,1,1,55,301999193,2,15:31.0,15:25.0,10000,13000,30,00:00.0,3.2666303,6.5771961,,,Training,8a858fc75cd62882015ce9fe176d7837,8a858fc75cd62882015ce9fe176d7837,
911,Good,100,2,2,1.019444444,Zenith Bank,42,42.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021388889,1.010694444,365,365,730,0,0,1,1,85,301966009,2,55:22.0,55:15.0,10000,13000,30,00:00.0,5.7550617,5.5649883,,,Test,8a858fc75cd62882015ce320d4b64f4d,8a858fc75cd62882015ce320d4b64f4d,
912,Good,100,2,2,1.005555556,Access Bank,34,34.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.0075,1.00375,365,365,730,0,0,1,1,68,301979337,2,49:41.0,49:34.0,10000,11500,15,00:00.0,3.3582277,6.6174485,,,Training,8a858fc75cd62882015ce3990b726a9b,8a858fc75cd62882015ce3990b726a9b,
913,Good,50,1,2,1.019166667,GT Bank,37,36.9,Permanent,Permanent,Savings,Savings,2,1.5,3,2.021111111,1.010555556,365,365,730,1,1,1,0.5,74,302000180,2,56:23.0,56:16.0,10000,11500,15,00:00.0,5.5999701,6.293171,,,Validation,8a858fc75cd62882015cea7d48862701,8a858fc75cd62882015cea7d48862701,8a858f4e5ca72981015ca78d16c126e2
914,Good,100,2,2,1.019166667,Access Bank,37,36.6,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,1,73,301973206,2,08:13.0,08:06.0,10000,13000,30,00:00.0,3.3297523,6.4849162,,,Validation,8a858fc95ce99dd6015cee5236477069,8a858fc95ce99dd6015cee5236477069,
