Good_or_Bad,Max(loannumber),Max(durationforapproval),Mean(Interestrate),Sum(referral_recode),Sum(churn_flag),Pct_Ontime,Mean(AgeAtTimeofLoan),bank_account_recode,bank_name_clients,employment_status_clients_recode
Good,4,1.006944444,342.1875,0,4,100,28.1,Savings,UBA,Permanent
Good,4,1.696666667,365,0,2,50,32.6,Savings,Heritage Bank,Unknown
Good,4,1.019166667,342.1875,4,3,75,31.8,Savings,Diamond Bank,Permanent
Good,4,1.003611111,342.1875,4,3,75,33.8,Savings,Standard Chartered,Permanent
Good,4,1.003888889,342.1875,0,3,75,27.6,Savings,GT Bank,Permanent
Good,4,1.019722222,365,0,3,75,32.5,Savings,GT Bank,Permanent
Good,4,1.001944444,365,0,3,75,29.3,Savings,EcoBank,Permanent
Good,4,1.004444444,342.1875,0,4,100,32.9,Savings,Access Bank,Unknown
Good,4,1.018611111,342.1875,4,4,100,31.2,Savings,GT Bank,Permanent
Good,4,1.0075,349.7916667,0,3,75,34.8,Savings,GT Bank,Permanent
Good,4,1.003333333,365,0,2,50,26.5,Savings,GT Bank,Permanent
Bad,4,1.005833333,311.7708333,0,2,50,29.3,Savings,GT Bank,Permanent
Good,4,1.003333333,342.1875,0,4,100,30.5,Savings,Zenith Bank,Permanent
Bad,4,1.018888889,342.1875,0,3,75,30.2,Savings,FCMB,Permanent
Bad,4,1.018888889,365,0,0,0,33.7,Savings,First Bank,Permanent
Good,4,1.018611111,365,0,1,25,27.5,Savings,EcoBank,Permanent
Good,4,1.018611111,365,0,3,75,31.8,Savings,GT Bank,Permanent
Good,4,1.004722222,285.9166667,0,3,75,27.3,Other,Union Bank,Permanent
Good,4,1.018611111,365,0,2,50,31.8,Savings,Fidelity Bank,Permanent
Good,4,1.018888889,365,0,1,25,27.7,Savings,First Bank,Self-Employed
Good,4,1.004166667,342.1875,0,3,75,38.7,Other,GT Bank,Unknown
Good,4,1.018611111,365,0,3,75,41.2,Savings,Access Bank,Permanent
Good,4,1.004722222,365,0,3,75,34.4,Savings,UBA,Permanent
Good,4,1.004166667,342.1875,4,3,75,22.8,Savings,Access Bank,Permanent
Good,4,1.004166667,342.1875,0,4,100,35,Savings,GT Bank,Permanent
Good,4,1.002222222,342.1875,0,3,75,22.3,Savings,GT Bank,Permanent
Good,4,1.004166667,342.1875,0,4,100,29,Savings,EcoBank,Permanent
Good,4,1.019722222,365,0,4,100,29.1,Savings,EcoBank,Permanent
Good,4,1.004444444,342.1875,0,3,75,36.1,Savings,GT Bank,Permanent
Good,4,1.018611111,342.1875,0,4,100,38.1,Savings,Fidelity Bank,Unknown
Good,4,1.018888889,342.1875,0,4,100,24.7,Savings,UBA,Permanent
Good,4,1.018611111,342.1875,0,2,50,31.6,Savings,Zenith Bank,Permanent
Bad,4,1.007777778,365,0,1,25,23.5,Savings,GT Bank,Student
Good,4,1.003888889,342.1875,0,4,100,31.2,Savings,GT Bank,Permanent
Good,4,1.002222222,342.1875,0,3,75,24.9,Savings,Union Bank,Permanent
Good,4,1.019166667,365,0,2,50,48.1,Savings,EcoBank,Permanent
Bad,4,1.018611111,365,0,1,25,25.2,Savings,First Bank,Unknown
Bad,4,1.019444444,365,0,1,25,28.7,Savings,First Bank,Permanent
Good,4,1.003611111,342.1875,0,4,100,27.8,Savings,EcoBank,Permanent
Good,4,1.002777778,342.1875,0,3,75,36.2,Savings,UBA,Permanent
Bad,4,1.006666667,365,4,1,25,36,Savings,First Bank,Permanent
Good,4,1.003888889,365,0,4,100,28.6,Other,GT Bank,Permanent
Good,4,1.018333333,342.1875,0,2,50,55.6,Savings,Sterling Bank,Unknown
Bad,4,1.862777778,342.1875,4,3,75,42.1,Savings,Access Bank,Permanent
Good,4,1.003055556,319.375,0,3,75,30.9,Savings,UBA,Permanent
Good,4,1.018888889,342.1875,0,2,50,30.6,Savings,UBA,Self-Employed
Good,4,1.004722222,326.9791667,0,3,75,36.8,Savings,EcoBank,Permanent
Good,4,1.021388889,342.1875,0,4,100,32.5,Savings,Zenith Bank,Permanent
Good,4,1.019444444,365,0,2,50,29.8,Savings,Access Bank,Permanent
Good,4,1.002777778,342.1875,4,4,100,29,Savings,UBA,Permanent
Bad,4,1.021666667,342.1875,0,3,75,37.4,Savings,UBA,Permanent
Good,4,1.018611111,311.7708333,0,3,75,39,Savings,GT Bank,Permanent
Good,4,1.002777778,365,0,2,50,40.5,Savings,Keystone Bank,Unknown
Good,4,1.004722222,365,0,3,75,49.9,Savings,Stanbic IBTC,Unknown
Good,4,1.02,342.1875,0,4,100,28.6,Savings,Diamond Bank,Permanent
Good,4,1.003055556,342.1875,4,3,75,28.7,Savings,GT Bank,Unknown
Good,4,1.006111111,342.1875,0,2,50,32.9,Savings,Access Bank,Permanent
Good,4,1.742222222,342.1875,0,4,100,31.6,Savings,First Bank,Permanent
Bad,4,1.003611111,365,0,2,50,41.5,Savings,UBA,Permanent
Bad,4,9.495,365,0,0,0,24.7,Other,EcoBank,Self-Employed
Good,4,1.003888889,319.375,0,3,75,31.2,Savings,First Bank,Permanent
Bad,4,1.0025,365,0,1,25,33.6,Savings,Sterling Bank,Unknown
Bad,4,1.005,365,0,2,50,33,Savings,GT Bank,Permanent
Good,4,1.021388889,342.1875,4,4,100,38.7,Savings,FCMB,Permanent
Good,4,1.005,365,0,3,75,35,Savings,GT Bank,Permanent
Good,4,1.003888889,342.1875,4,4,100,29.5,Savings,UBA,Permanent
Good,4,1.003333333,365,0,2,50,36.6,Savings,GT Bank,Permanent
Good,4,1.003055556,342.1875,0,4,100,31.1,Savings,GT Bank,Permanent
Good,4,1.019444444,342.1875,0,4,100,34.9,Savings,FCMB,Permanent
Good,4,1.004166667,342.1875,0,3,75,31.8,Savings,GT Bank,Permanent
Good,4,1.636388889,342.1875,0,3,75,32.5,Savings,UBA,Unknown
Good,4,1.004444444,342.1875,4,2,50,34.4,Savings,Diamond Bank,Unknown
Good,4,1.018055556,342.1875,0,4,100,26.9,Savings,GT Bank,Permanent
Bad,4,1.003333333,296.5625,4,3,75,38.3,Savings,Sterling Bank,Unknown
Bad,4,1.006111111,365,0,0,0,38.2,Savings,GT Bank,Permanent
Good,4,1.018888889,342.1875,4,4,100,39.7,Savings,UBA,Permanent
Good,4,1.011111111,342.1875,0,4,100,32.1,Savings,GT Bank,Permanent
Good,4,1.003611111,342.1875,0,4,100,38.2,Savings,Stanbic IBTC,Unknown
Good,4,1.018611111,365,0,3,75,34.4,Savings,GT Bank,Permanent
Bad,4,1.019722222,342.1875,0,1,25,42.3,Savings,Zenith Bank,Permanent
Good,4,1.002222222,319.375,4,3,75,31.9,Savings,Zenith Bank,Unknown
Good,4,1.006666667,342.1875,4,3,75,38.1,Savings,Stanbic IBTC,Permanent
Bad,4,1.031944444,365,0,0,0,34.9,Savings,GT Bank,Permanent
Good,4,1.003611111,342.1875,0,3,75,25.8,Savings,GT Bank,Permanent
Bad,4,1.019444444,365,0,1,25,41.1,Savings,GT Bank,Unknown
Good,4,1.003055556,342.1875,0,4,100,27.5,Savings,First Bank,Permanent
Good,4,5.530277778,342.1875,0,3,75,22.7,Other,Zenith Bank,Permanent
Good,4,1.003333333,342.1875,0,3,75,24.8,Savings,Fidelity Bank,Permanent
Good,4,1.020277778,319.375,0,3,75,34.1,Savings,Standard Chartered,Permanent
Good,4,1.02,342.1875,0,4,100,33.5,Savings,Zenith Bank,Permanent
Good,4,1.019166667,365,4,3,75,28.5,Savings,UBA,Permanent
Good,4,1.018888889,342.1875,0,2,50,38.1,Savings,Zenith Bank,Unknown
Good,4,1.007222222,365,0,3,75,31.2,Savings,GT Bank,Permanent
Good,4,1.018888889,319.375,0,4,100,50,Savings,Stanbic IBTC,Permanent
Good,4,1.002777778,342.1875,0,4,100,35.3,Savings,Zenith Bank,Permanent
Good,4,1.018888889,365,0,3,75,29.2,Savings,GT Bank,Permanent
Good,4,1.003611111,342.1875,0,4,100,34.2,Savings,GT Bank,Permanent
Good,4,1.002777778,342.1875,0,4,100,26.7,Savings,GT Bank,Unknown
Good,4,1.003055556,342.1875,0,2,50,38.6,Savings,UBA,Permanent
Bad,4,1.018888889,342.1875,4,3,75,40.2,Savings,Skye Bank,Permanent
Good,4,1.003333333,365,0,2,50,30.3,Savings,GT Bank,Permanent
Good,4,1.018611111,365,0,2,50,22.4,Savings,Access Bank,Permanent
Bad,4,1.003611111,365,0,0,0,27.2,Savings,Access Bank,Permanent
Good,4,1.005555556,342.1875,0,4,100,32,Savings,GT Bank,Permanent
Good,4,1.003055556,342.1875,0,2,50,31.6,Savings,GT Bank,Permanent
Bad,4,1.005555556,342.1875,4,2,50,33.5,Savings,FCMB,Permanent
Good,4,1.003055556,273.75,0,4,100,21.4,Savings,Diamond Bank,Permanent
Good,4,1.018333333,342.1875,0,4,100,38,Savings,GT Bank,Permanent
Bad,4,1.018611111,342.1875,0,1,25,39.5,Savings,GT Bank,Permanent
Good,4,1.018611111,342.1875,0,3,75,40.8,Savings,Access Bank,Unknown
Good,4,1.004166667,342.1875,4,2,50,33.8,Savings,Stanbic IBTC,Permanent
Good,4,1.003055556,296.5625,4,4,100,32.1,Savings,GT Bank,Permanent
Good,4,1.003333333,311.7708333,0,4,100,26.7,Savings,Zenith Bank,Unknown
Good,4,1.004722222,342.1875,0,4,100,34.1,Savings,GT Bank,Permanent
Bad,4,1.009722222,342.1875,0,2,50,36.4,Savings,UBA,Unknown
Good,4,1.003888889,365,0,1,25,30.6,Savings,Wema Bank,Permanent
Good,4,1.003333333,365,0,2,50,28.7,Other,GT Bank,ContractRetiredUnemployed
Good,4,1.018888889,365,0,4,100,31.4,Savings,GT Bank,Permanent
Bad,4,1.007222222,318.8680556,0,2,50,32.6,Savings,GT Bank,Permanent
Bad,4,1.004722222,365,0,2,50,33.5,Savings,UBA,Permanent
Good,4,1.004444444,319.375,0,4,100,39.4,Savings,Access Bank,Unknown
Good,4,1.005555556,342.1875,0,3,75,28,Savings,First Bank,Permanent
Good,4,1.003055556,342.1875,0,4,100,30.7,Savings,GT Bank,Permanent
Bad,4,1.018888889,342.1875,0,0,0,26.7,Savings,GT Bank,Self-Employed
Bad,4,1.019722222,365,0,2,50,38.7,Savings,Diamond Bank,Permanent
Bad,4,1.003055556,365,0,2,50,45.5,Savings,Access Bank,Permanent
Good,4,1.005,342.1875,0,4,100,31.5,Savings,GT Bank,Permanent
Good,4,1.003055556,349.7916667,4,2,50,28.9,Savings,Zenith Bank,Permanent
Good,4,1.018888889,342.1875,0,2,50,41.7,Savings,FCMB,Permanent
Good,4,1.003055556,342.1875,4,4,100,25.4,Savings,First Bank,Permanent
Bad,4,1.003888889,342.1875,4,1,25,38.8,Savings,Diamond Bank,Unknown
Good,4,1.019722222,365,0,2,50,27.2,Savings,Skye Bank,Permanent
Good,4,1.632222222,319.375,0,4,100,35.7,Other,GT Bank,Permanent
Good,4,1.003888889,342.1875,0,4,100,29.4,Savings,GT Bank,Permanent
Bad,4,1.003888889,365,0,1,25,36.1,Savings,First Bank,Permanent
Good,4,1.003888889,342.1875,0,4,100,26.1,Savings,Access Bank,Permanent
Good,4,1.003888889,342.1875,0,4,100,46.1,Savings,GT Bank,Unknown
Good,4,1.018888889,342.1875,0,4,100,28.3,Savings,Diamond Bank,Permanent
Bad,4,1.02,365,0,1,25,43.9,Other,FCMB,Self-Employed
Good,4,1.004444444,342.1875,0,3,75,24.7,Savings,GT Bank,Permanent
Good,4,1.005277778,342.1875,0,3,75,28.5,Savings,UBA,Unknown
Bad,4,1.019166667,365,4,1,25,28.6,Savings,Access Bank,Permanent
Good,4,1.004444444,326.9791667,0,4,100,35.7,Savings,GT Bank,Unknown
Good,4,1.003888889,342.1875,0,3,75,38.8,Savings,GT Bank,Unknown
Good,4,1.005277778,365,0,1,25,31,Savings,GT Bank,Permanent
Bad,4,1.001944444,342.1875,0,3,75,34.1,Savings,Diamond Bank,Permanent
Good,4,1.003055556,342.1875,0,3,75,34.4,Savings,GT Bank,Permanent
Good,4,1.003055556,342.1875,0,2,50,31.6,Savings,Diamond Bank,Permanent
Bad,4,1.018888889,342.1875,0,2,50,27.9,Savings,First Bank,ContractRetiredUnemployed
Good,4,1.062222222,342.1875,0,3,75,26.8,Savings,Stanbic IBTC,Permanent
Good,4,1.575277778,342.1875,0,3,75,37.3,Savings,UBA,Permanent
Good,4,1.019166667,342.1875,0,3,75,38.7,Savings,First Bank,Permanent
Bad,4,1.003611111,365,0,1,25,34.9,Savings,First Bank,Permanent
Good,4,1.001944444,319.375,4,3,75,31.3,Savings,First Bank,Permanent
Good,4,1.002777778,342.1875,0,4,100,31.9,Savings,GT Bank,Permanent
Good,4,1.018333333,365,0,3,75,29.9,Other,GT Bank,Permanent
Bad,4,1.002777778,319.375,0,2,50,44.1,Savings,Access Bank,Permanent
Bad,4,1.004444444,365,4,0,0,34.5,Savings,GT Bank,Permanent
Bad,4,1.006666667,342.1875,0,2,50,49.2,Savings,First Bank,Permanent
Good,4,1.018888889,342.1875,0,4,100,21.8,Savings,Stanbic IBTC,Permanent
Good,4,1.003055556,342.1875,0,4,100,29.3,Savings,Zenith Bank,Permanent
Good,4,1.003333333,342.1875,0,4,100,33.4,Savings,GT Bank,Permanent
Good,4,1.584722222,342.1875,0,2,50,32.8,Savings,GT Bank,Permanent
Good,4,1.019166667,342.1875,0,3,75,43.1,Savings,FCMB,Unknown
Bad,4,1.0025,342.1875,0,2,50,35.9,Savings,EcoBank,Unknown
Good,4,1.019444444,342.1875,0,2,50,32.1,Savings,Access Bank,Unknown
Good,4,1.018888889,296.5625,0,4,100,35.9,Savings,First Bank,Permanent
Good,4,1.019722222,342.1875,0,4,100,30.4,Savings,Diamond Bank,Permanent
Good,4,1.0025,365,0,1,25,34.6,Savings,GT Bank,Self-Employed
Bad,4,1.004444444,365,0,0,0,24.3,Savings,Diamond Bank,Permanent
Good,4,1.018333333,296.5625,0,4,100,44.5,Savings,EcoBank,Permanent
Good,4,1.020277778,365,0,2,50,38.1,Savings,GT Bank,Self-Employed
Bad,4,1.003888889,365,0,1,25,30.3,Savings,First Bank,Permanent
Good,4,1.029722222,342.1875,0,2,50,30.5,Other,Fidelity Bank,Permanent
Bad,4,1.003333333,365,0,1,25,23.4,Savings,GT Bank,Permanent
Good,5,1.02,273.75,0,3,60,37.3,Other,Standard Chartered,Permanent
Good,5,1.018333333,328.5,0,5,100,30.5,Savings,Access Bank,Permanent
Good,5,1.018888889,328.5,0,4,80,24.3,Savings,GT Bank,Permanent
Good,5,1.02,346.75,0,3,60,40.7,Other,UBA,Permanent
Good,5,1.018611111,328.5,0,1,20,30.2,Savings,Diamond Bank,Permanent
Good,5,1.02,328.5,5,5,100,32.5,Savings,Zenith Bank,Permanent
Good,5,1.008055556,310.25,0,3,60,33.7,Other,GT Bank,Self-Employed
Bad,5,6.431944444,365,0,3,60,22.8,Savings,GT Bank,Permanent
Good,5,1.019444444,328.5,0,3,60,42,Savings,Fidelity Bank,Permanent
Bad,5,1.019722222,365,0,0,0,35.6,Savings,First Bank,Permanent
Good,5,1.003055556,346.75,0,4,80,28.1,Other,First Bank,Permanent
Good,5,1.003888889,346.75,0,5,100,31.9,Other,First Bank,Permanent
Bad,5,1.515,328.5,0,4,80,41.9,Savings,First Bank,Unknown
Bad,5,1.018888889,328.5,0,4,80,27.1,Savings,Fidelity Bank,Permanent
Bad,5,1.019444444,365,0,2,40,39.4,Savings,Access Bank,Permanent
Good,5,1.018333333,328.5,0,2,40,29,Savings,UBA,Permanent
Bad,5,1.019722222,328.5,0,4,80,36,Savings,GT Bank,Permanent
Bad,5,1.018055556,365,0,3,60,36.3,Savings,First Bank,Unknown
Good,5,1.002222222,304.1666667,0,5,100,30.7,Savings,GT Bank,Permanent
Good,5,1.018333333,328.5,0,5,100,27.9,Savings,GT Bank,Permanent
Good,5,1.019722222,328.5,0,4,80,34.3,Savings,Diamond Bank,Permanent
Good,5,1.003611111,328.5,0,5,100,34.8,Savings,Heritage Bank,Permanent
Good,5,1.006388889,328.5,5,5,100,31.3,Other,Stanbic IBTC,Permanent
Good,5,1.006944444,322.4166667,0,5,100,29.8,Savings,Stanbic IBTC,Permanent
Bad,5,1.009722222,365,0,1,20,25.4,Savings,FCMB,Permanent
Good,5,1.021666667,328.5,0,3,60,36.3,Savings,GT Bank,Permanent
Good,5,1.0025,316.3333333,0,4,80,35.3,Savings,GT Bank,Unknown
Good,5,1.003055556,328.5,0,3,60,28.9,Savings,GT Bank,Permanent
Bad,5,1.016944444,328.5,0,4,80,39.3,Savings,First Bank,Permanent
Good,5,1.018888889,273.75,5,5,100,27.9,Savings,GT Bank,ContractRetiredUnemployed
Good,5,1.019166667,365,0,3,60,34.7,Savings,First Bank,Permanent
Good,5,1.7975,346.3444444,0,4,80,38.4,Savings,GT Bank,Permanent
Bad,5,1.02,365,0,1,20,26.9,Savings,GT Bank,Permanent
Good,5,1.019722222,328.5,0,5,100,27.7,Savings,GT Bank,Permanent
Good,5,1.02,328.5,0,5,100,28.5,Savings,First Bank,Permanent
Good,5,1.018611111,328.5,0,4,80,22.8,Savings,GT Bank,Student
Good,5,1.018611111,328.5,0,4,80,22.3,Other,Diamond Bank,Student
Bad,5,1.018611111,328.5,0,2,40,38.2,Savings,Sterling Bank,Permanent
Good,5,1.018611111,328.5,0,2,40,28.4,Savings,GT Bank,Permanent
Good,5,1.018888889,328.5,0,3,60,29.7,Savings,UBA,Self-Employed
Good,5,7.279722222,328.5,0,4,80,40.5,Other,GT Bank,Permanent
Good,5,1.002777778,273.75,0,5,100,23.4,Savings,Wema Bank,Student
Good,5,1.018611111,346.75,5,4,80,39.6,Savings,Skye Bank,Permanent
Good,5,1.019722222,328.5,0,4,80,37.3,Savings,GT Bank,Unknown
Good,5,1.008333333,346.75,0,4,80,39,Savings,First Bank,Unknown
Good,5,1.004166667,328.5,0,4,80,48,Savings,GT Bank,Unknown
Good,5,1.018333333,328.5,0,4,80,39.1,Savings,Diamond Bank,Permanent
Good,5,1.005833333,346.75,0,3,60,29.1,Other,FCMB,Self-Employed
Good,5,1.005277778,328.5,0,5,100,37.4,Savings,First Bank,Permanent
Good,5,1.02,273.75,0,3,60,23.5,Other,Stanbic IBTC,Permanent
Bad,5,1.003333333,328.5,0,3,60,21.7,Savings,GT Bank,Permanent
Good,5,1.018611111,328.5,0,5,100,24.5,Savings,Diamond Bank,Permanent
Good,5,1.003055556,328.5,0,3,60,33.7,Savings,Access Bank,Permanent
Good,5,1.018611111,328.5,0,3,60,38,Savings,GT Bank,Permanent
Good,5,1.019166667,365,0,3,60,31.5,Savings,GT Bank,Unknown
Good,5,1.002777778,365,0,4,80,29.5,Savings,Fidelity Bank,Permanent
Good,5,1.018888889,273.75,0,4,80,35.1,Other,GT Bank,Permanent
Good,5,1.839166667,328.5,0,4,80,33.8,Savings,Access Bank,Permanent
Good,5,1.020277778,328.5,0,4,80,30.8,Savings,GT Bank,Permanent
Good,5,1.003611111,328.5,0,4,80,27.3,Savings,Fidelity Bank,Unknown
Good,5,1.018888889,322.4166667,0,3,60,36.1,Savings,Zenith Bank,Unknown
Good,5,1.004444444,346.75,0,3,60,33.1,Savings,First Bank,Permanent
Good,5,1.005555556,346.75,0,4,80,39.7,Savings,GT Bank,Permanent
Good,5,1.018888889,365,0,1,20,36.2,Savings,Zenith Bank,Permanent
Bad,5,1.018055556,365,0,3,60,22.4,Savings,Diamond Bank,Permanent
Good,5,1.003611111,328.5,0,3,60,28.8,Savings,FCMB,Unknown
Good,5,1.003611111,269.6936333,0,4,80,31.6,Other,First Bank,ContractRetiredUnemployed
Good,5,1.011111111,365,0,3,60,53.8,Savings,First Bank,Unknown
Good,5,1.019166667,365,0,3,60,38.1,Savings,First Bank,Permanent
Good,5,1.968888889,328.5,0,4,80,31.9,Savings,First Bank,Permanent
Good,5,1.003888889,328.5,0,5,100,35.7,Savings,GT Bank,Permanent
Good,5,1.005555556,279.8333333,0,4,80,33.7,Savings,EcoBank,Permanent
Good,5,1.002777778,328.5,5,5,100,28.2,Savings,GT Bank,Unknown
Good,5,1.018888889,365,5,2,40,23.8,Savings,GT Bank,Unknown
Good,5,1.0075,328.5,5,5,100,40.5,Savings,FCMB,Unknown
Good,5,1.018333333,328.5,0,5,100,27.7,Savings,Stanbic IBTC,Permanent
Good,5,1.004444444,328.5,0,4,80,34.2,Savings,GT Bank,Permanent
Good,5,1.004444444,328.5,0,4,80,34.2,Savings,GT Bank,Permanent
Good,5,1.018333333,328.5,0,3,60,53.7,Savings,Zenith Bank,Permanent
Good,5,1.018888889,328.5,0,5,100,29.1,Savings,First Bank,Unknown
Good,5,1.003333333,328.5,5,5,100,26.3,Savings,UBA,Permanent
Good,5,1.004722222,328.5,5,5,100,38.8,Savings,FCMB,Unknown
Good,5,1.005277778,304.1666667,0,5,100,32.2,Savings,GT Bank,Permanent
Good,5,1.004166667,328.5,0,2,40,37.7,Savings,FCMB,Permanent
Good,5,1.009722222,340.6666667,5,3,60,30.5,Savings,GT Bank,Permanent
Good,5,1.019722222,346.75,0,3,60,35.9,Other,UBA,Permanent
Good,5,1.006666667,365,0,3,60,39,Savings,Access Bank,Unknown
Good,5,1.003611111,346.75,0,4,80,25.6,Savings,UBA,Permanent
Good,5,1.018055556,328.5,0,5,100,41.9,Savings,Access Bank,Permanent
Good,5,1.018611111,346.75,0,3,60,37.1,Savings,GT Bank,Permanent
Good,5,1.003333333,328.5,0,5,100,26.8,Savings,GT Bank,Permanent
Good,5,1.002222222,328.5,0,5,100,41.9,Savings,FCMB,Unknown
Good,5,1.003611111,328.5,0,5,100,39.2,Savings,GT Bank,Unknown
Good,5,1.003611111,328.5,0,4,80,36.9,Savings,UBA,Unknown
Good,5,1.018888889,328.5,5,4,80,31.9,Savings,Zenith Bank,Permanent
Bad,5,1.018333333,346.75,0,2,40,24.5,Savings,UBA,Student
Good,5,1.019166667,328.5,5,5,100,47.2,Savings,Fidelity Bank,Unknown
Good,5,1.102777778,328.5,0,5,100,32.1,Savings,FCMB,Permanent
Good,5,1.427777778,328.5,0,5,100,32.5,Savings,First Bank,Permanent
Good,5,1.019444444,328.5,0,3,60,34.1,Savings,Fidelity Bank,Permanent
Good,5,1.695555556,365,0,3,60,35.7,Savings,Heritage Bank,Permanent
Good,5,1.018611111,328.5,0,4,80,24.8,Savings,Access Bank,Unknown
Good,5,1.248055556,328.5,5,5,100,32.6,Savings,GT Bank,Permanent
Good,5,1.02,316.3333333,0,5,100,38.7,Savings,Access Bank,Unknown
Good,5,1.018888889,328.5,0,5,100,38.1,Savings,GT Bank,Permanent
Good,5,1.019722222,328.5,5,2,40,26.6,Savings,Stanbic IBTC,Permanent
Good,5,1.005,328.5,0,5,100,38.4,Savings,First Bank,Permanent
Good,5,1.02,322.4166667,0,4,80,33.2,Savings,UBA,Permanent
Good,5,1.019444444,328.5,0,4,80,51.4,Savings,EcoBank,Unknown
Good,5,1.004166667,328.5,0,4,80,36.3,Savings,GT Bank,Permanent
Good,5,1.018611111,328.5,0,4,80,26,Savings,Stanbic IBTC,Permanent
Good,5,1.018333333,328.5,0,3,60,34.2,Savings,Sterling Bank,Permanent
Good,5,1.019166667,328.5,0,3,60,22.2,Savings,UBA,Permanent
Good,5,1.010833333,328.5,0,5,100,35.3,Savings,UBA,Permanent
Bad,5,1.003333333,344.3166667,0,2,40,24.1,Other,GT Bank,Permanent
Good,5,1.003888889,310.25,0,4,80,23.5,Other,UBA,Student
Good,5,1.018888889,346.75,0,5,100,32.8,Savings,Sterling Bank,Permanent
Good,5,1.003333333,365,0,1,20,30.1,Other,Stanbic IBTC,Permanent
Good,5,1.003333333,365,0,3,60,30.9,Other,GT Bank,Student
Bad,5,1.003333333,346.75,0,2,40,21.8,Savings,First Bank,Permanent
Good,5,1.011944444,365,0,4,80,34.2,Savings,UBA,Permanent
Bad,5,1.018611111,365,0,1,20,23.6,Savings,GT Bank,Permanent
Good,5,1.018333333,310.25,0,4,80,30.2,Other,GT Bank,Self-Employed
Good,5,1.018888889,328.5,0,2,40,36.4,Savings,UBA,Permanent
Good,5,1.018888889,310.25,0,4,80,26.5,Other,Diamond Bank,Permanent
Good,5,3.219722222,365,0,3,60,36.6,Other,GT Bank,Self-Employed
Good,5,29.8775,365,0,2,40,44.8,Other,GT Bank,Permanent
Good,5,1.018611111,365,0,1,20,24.5,Other,Zenith Bank,Permanent
Good,5,1.004444444,365,0,4,80,27.9,Savings,GT Bank,Permanent
Good,5,1.019444444,328.5,0,3,60,39.7,Savings,UBA,Permanent
Good,5,8.610277778,342.1875,0,4,80,28.2,Other,Diamond Bank,Permanent
Good,5,1.02,328.5,0,4,80,52.1,Other,Access Bank,Permanent
Good,5,1.004166667,328.5,0,4,80,28.6,Savings,GT Bank,Permanent
Good,5,1.02,304.1666667,0,5,100,31.3,Savings,GT Bank,Permanent
Good,5,1.018611111,328.5,0,4,80,28.9,Savings,UBA,Permanent
Good,5,1.019166667,328.5,0,1,20,28.6,Savings,GT Bank,Permanent
Good,5,1.018333333,365,0,3,60,24.6,Savings,First Bank,Permanent
Good,5,1.004166667,328.5,0,2,40,37.1,Savings,Fidelity Bank,Permanent
Bad,5,1.02,328.5,0,3,60,35.6,Savings,GT Bank,Permanent
Good,5,1.003611111,328.5,0,2,40,34.4,Savings,First Bank,Unknown
Good,5,1.003333333,328.5,0,5,100,35,Savings,Skye Bank,Permanent
Good,5,1.020277778,328.5,0,4,80,29.2,Other,Zenith Bank,Self-Employed
Good,5,1.018888889,239.2769667,5,5,100,30.7,Savings,GT Bank,Unknown
Good,5,1.019444444,328.5,0,4,80,29.6,Savings,GT Bank,Permanent
Bad,5,1.020555556,328.5,0,4,80,31.4,Savings,GT Bank,Unknown
Good,5,1.019722222,328.5,5,5,100,40.5,Savings,First Bank,Permanent
Good,5,1.019444444,346.75,0,3,60,29.4,Savings,First Bank,Unknown
Good,5,1.018888889,310.25,0,5,100,32,Savings,Zenith Bank,Permanent
Good,5,1.005277778,310.25,0,5,100,31,Savings,GT Bank,Self-Employed
Good,5,2.656111111,328.5,5,5,100,38.2,Savings,GT Bank,Permanent
Good,5,1.005,346.75,0,2,40,23.5,Other,Access Bank,Student
Good,5,1.003888889,328.5,0,5,100,32.2,Savings,GT Bank,Permanent
Good,5,1.004444444,365,0,2,40,27.3,Savings,GT Bank,Permanent
Good,5,1.003333333,346.75,0,3,60,24.1,Savings,Zenith Bank,Permanent
Good,5,1.018611111,328.5,0,5,100,28.1,Savings,UBA,Permanent
Good,5,1.006388889,328.5,0,2,40,34.3,Savings,GT Bank,Permanent
Good,5,1.019166667,365,5,4,80,33.7,Savings,Zenith Bank,Permanent
Good,5,1.019444444,328.5,0,4,80,28.2,Savings,Access Bank,Permanent
Bad,5,1.003611111,328.5,0,3,60,27.9,Savings,GT Bank,Permanent
Good,5,1.011111111,328.5,0,4,80,28.3,Savings,GT Bank,Permanent
Bad,5,1.003333333,365,0,3,60,33.1,Savings,First Bank,Unknown
Good,5,1.002777778,365,0,1,20,30.4,Other,Diamond Bank,Permanent
Good,5,1.019722222,292,0,5,100,25.2,Savings,First Bank,Unknown
Good,5,1.018888889,328.5,0,4,80,31.6,Savings,Zenith Bank,Permanent
Good,5,1.019722222,298.0833333,0,4,80,26.6,Savings,First Bank,Permanent
Good,5,1.018333333,328.5,0,3,60,29.5,Savings,UBA,Permanent
Good,5,1.019166667,307.8166667,0,2,40,28.3,Other,Diamond Bank,Permanent
Good,5,1.001944444,310.25,0,2,40,26.1,Savings,GT Bank,Permanent
Good,5,1.004166667,346.75,0,2,40,31.4,Savings,GT Bank,Permanent
Good,5,1.006388889,243.3333333,3,3,60,40.1,Savings,GT Bank,Permanent
Bad,5,1.002777778,365,0,1,20,27.5,Savings,Diamond Bank,Permanent
