,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,
747,Good,100,2,2,1.018888889,GT Bank,34,34.3,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Training
748,Good,100,2,2,1.005277778,Standard Chartered,32,31.7,Permanent,Savings,2,1.5,3,2.0075,1.00375,365,365,1,1,10000,13000,30,Training
749,Good,100,2,2,1.011111111,GT Bank,29,28.9,Permanent,Savings,0,1.5,3,2.013055556,1.006527778,365,365,0,1,10000,11500,15,Test
750,Good,100,2,2,1.019166667,GT Bank,27,27.4,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Training
751,Bad,0,0,2,1.018888889,GT Bank,37,36.6,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,13000,30,Training
752,Good,100,2,2,1.004722222,Diamond Bank,46,46.2,Permanent,Savings,0,1.5,3,2.006388889,1.003194444,365,365,0,1,10000,11500,15,Validation
753,Bad,0,0,2,1.003611111,Diamond Bank,25,25.3,Unknown,Savings,0,1.5,3,2.005555556,1.002777778,365,365,0,0,10000,13000,30,Test
754,Good,100,2,2,1.018888889,UBA,36,36.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Test
755,Good,100,2,2,1.018888889,Diamond Bank,45,45.2,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,11500,15,Test
756,Good,100,2,2,1.003888889,Access Bank,28,28.2,Permanent,Savings,0,1.5,3,2.005833333,1.002916667,365,365,0,1,10000,13000,30,Validation
757,Good,100,2,2,1.008333333,GT Bank,32,32.4,Permanent,Savings,0,1.5,3,2.010833333,1.005416667,365,365,0,1,10000,13000,30,Training
758,Good,100,2,2,1.019166667,First Bank,29,28.7,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Validation
759,Bad,0,0,2,1.004444444,Access Bank,49,49.2,Permanent,Savings,2,1.5,3,2.006111111,1.003055556,365,365,1,0,10000,13000,30,Training
760,Bad,0,0,2,1.018611111,GT Bank,35,34.6,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,0,10000,13000,30,Test
761,Bad,50,1,2,1.019722222,GT Bank,32,31.8,ContractRetiredUnemployed,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Test
762,Good,50,1,2,1.019444444,Unity Bank,42,41.5,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
763,Bad,50,1,2,1.004722222,GT Bank,36,35.5,Permanent,Savings,0,1.5,3,2.006666667,1.003333333,365,365,0,1,10000,13000,30,Training
764,Bad,0,0,2,1.001944444,GT Bank,28,28.3,Permanent,Savings,0,1.5,3,2.003888889,1.001944444,365,365,0,0,10000,13000,30,Training
765,Good,100,2,2,1.018888889,GT Bank,34,33.7,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Training
766,Good,100,2,2,1.018888889,GT Bank,44,43.6,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
767,Good,100,2,2,1.003611111,Diamond Bank,40,39.8,Permanent,Other,0,1.5,3,2.006111111,1.003055556,365,365,0,1,10000,11500,15,Validation
768,Good,100,2,2,1.018888889,GT Bank,30,30.2,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Validation
769,Good,100,2,2,1.018888889,GT Bank,31,30.7,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,13000,30,Validation
770,Bad,50,1,2,1.019166667,GT Bank,26,26.1,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
771,Good,100,2,2,1.018888889,Zenith Bank,31,31.1,Unknown,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Training
772,Good,50,1,2,1.006111111,GT Bank,40,39.8,Permanent,Savings,0,1.5,3,2.008611111,1.004305556,365,365,0,1,10000,11500,15,Training
773,Good,50,1,2,1.019444444,Access Bank,31,30.6,Unknown,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,11500,15,Training
774,Bad,50,1,2,1.018888889,First Bank,29,29.2,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Training
775,Good,100,2,2,1.018888889,GT Bank,52,51.5,Permanent,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,10000,13000,30,Training
776,Good,50,1,2,1.018611111,GT Bank,47,47.1,Unknown,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Test
777,Good,100,2,2,1.002777778,UBA,24,24,Permanent,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,11500,15,Training
778,Good,100,2,2,1.018888889,Diamond Bank,40,40,Unknown,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,13000,30,Validation
779,Good,50,1,2,1.003611111,GT Bank,29,28.5,Permanent,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Validation
780,Good,50,1,2,1.019166667,GT Bank,34,34.3,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
781,Bad,0,0,2,1.019166667,Skye Bank,27,27.1,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,0,10000,13000,30,Test
782,Good,100,2,2,1.010833333,GT Bank,28,27.7,Permanent,Savings,0,1.5,3,2.013055556,1.006527778,365,365,0,1,10000,11500,15,Validation
783,Bad,50,1,2,1.019722222,Access Bank,25,25.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Validation
784,Bad,0,0,2,1.004444444,Access Bank,25,24.9,Permanent,Savings,0,1.5,3,2.006111111,1.003055556,365,365,0,0,10000,13000,30,Training
785,Good,100,2,2,1.010555556,Skye Bank,33,33.2,Permanent,Savings,2,1.5,3,2.016111111,1.008055556,365,365,1,1,10000,13000,30,Validation
786,Bad,50,1,2,1.003611111,GT Bank,26,26.1,Permanent,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,1,10000,13000,30,Validation
787,Good,100,2,2,1.003888889,GT Bank,37,36.8,Unknown,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,1,10000,13000,30,Test
788,Good,100,2,2,1.004722222,GT Bank,26,26.4,Unknown,Savings,2,1.5,3,2.007222222,1.003611111,365,365,1,1,10000,11500,15,Test
789,Good,100,2,2,1.018333333,GT Bank,40,40.3,Permanent,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Validation
790,Good,50,1,2,1.003333333,First Bank,39,39.1,Permanent,Savings,0,1.5,3,2.005555556,1.002777778,365,365,0,1,10000,11500,15,Validation
791,Good,100,2,2,1.005,UBA,37,37.4,Permanent,Savings,0,1.5,3,2.006944444,1.003472222,365,365,0,1,10000,13000,30,Validation
792,Good,50,1,2,1.0025,GT Bank,42,42.3,Unknown,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,11500,15,Validation
793,Good,50,1,2,1.002222222,First Bank,51,50.6,Permanent,Savings,0,1.5,3,2.004444444,1.002222222,365,365,0,1,10000,13000,30,Test
794,Good,50,1,2,1.019166667,First Bank,26,26.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Training
795,Good,100,2,2,1.018888889,UBA,30,29.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
796,Good,100,2,2,1.002777778,Stanbic IBTC,34,33.9,Unknown,Savings,2,1.5,3,2.005277778,1.002638889,365,365,1,1,10000,13000,30,Validation
797,Bad,50,1,2,1.003888889,Access Bank,30,30,Permanent,Savings,2,1.5,3,2.005833333,1.002916667,365,365,1,1,10000,13000,30,Validation
798,Good,100,2,2,1.021666667,GT Bank,37,36.8,Permanent,Savings,0,1.5,3,2.023888889,1.011944444,365,365,0,1,10000,11500,15,Validation
799,Good,50,1,2,1.002222222,Access Bank,27,26.7,Permanent,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,1,10000,13000,30,Test
800,Good,100,2,2,1.004444444,GT Bank,35,35,Self-Employed,Savings,0,1.5,3,2.006388889,1.003194444,365,365,0,1,10000,11500,15,Validation
801,Good,50,1,2,1.018888889,GT Bank,22,21.7,Self-Employed,Other,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
802,Good,100,2,2,1.019166667,Zenith Bank,27,27.2,Permanent,Other,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
803,Good,100,2,2,1.018888889,Fidelity Bank,24,23.9,Unknown,Other,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
804,Good,50,1,2,1.004166667,EcoBank,28,27.5,Permanent,Savings,0,1.5,3,2.008055556,1.004027778,365,365,0,1,10000,13000,30,Training
805,Good,50,1,2,1.02,GT Bank,23,22.6,Unknown,Savings,0,1.5,3,2.023611111,1.011805556,365,365,0,1,10000,13000,30,Test
806,Good,50,1,2,1.02,First Bank,43,42.7,Permanent,Other,0,1.5,3,2.024166667,1.012083333,365,365,0,1,10000,13000,30,Test
807,Good,100,2,2,1.018888889,Access Bank,27,27.3,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
808,Bad,0,0,2,1.002222222,GT Bank,33,32.9,Self-Employed,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,0,10000,13000,30,Validation
809,Good,100,2,2,1.019444444,GT Bank,39,39.1,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,11500,15,Validation
810,Good,100,2,2,1.020277778,GT Bank,29,28.9,Permanent,Savings,0,1.5,3,2.021944444,1.010972222,365,365,0,1,10000,11500,15,Test
811,Good,50,1,2,1.020833333,GT Bank,24,23.5,Student,Other,0,1.5,3,2.023055556,1.011527778,365,365,0,1,10000,13000,30,Training
812,Good,100,2,2,1.005555556,GT Bank,36,35.1,Self-Employed,Other,0,1.5,3,2.008055556,1.004027778,365,365,0,1,10000,13000,30,Training
813,Good,50,1,2,1.018888889,EcoBank,43,42.6,Permanent,Other,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Validation
814,Good,50,1,2,1.005555556,EcoBank,25,24.3,Permanent,Savings,0,1.5,3,2.008055556,1.004027778,365,365,0,1,10000,13000,30,Training
815,Good,100,2,2,1.019722222,Zenith Bank,40,39.7,Self-Employed,Other,0,1.5,3,2.022222222,1.011111111,365,365,0,1,10000,11500,15,Training
816,Good,100,2,2,1.018333333,Stanbic IBTC,34,33.7,Self-Employed,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
817,Good,50,1,2,1.02,GT Bank,29,28.8,Permanent,Savings,0,1.5,3,2.023611111,1.011805556,365,365,0,1,10000,11500,15,Training
818,Good,100,2,2,1.003333333,First Bank,25,25.2,Permanent,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Training
819,Good,100,2,2,1.003055556,Diamond Bank,34,33.9,Permanent,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,1,10000,13000,30,Validation
820,Bad,0,0,2,1.019722222,Zenith Bank,54,53.5,Unknown,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,0,10000,11500,15,Validation
821,Bad,50,1,2,1.018611111,GT Bank,25,25.2,Permanent,Other,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
822,Good,100,2,2,1.019722222,GT Bank,30,30.2,Permanent,Savings,0,1.5,3,2.023055556,1.011527778,365,365,0,1,10000,11500,15,Training
823,Bad,50,1,2,1.018888889,UBA,28,27.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
824,Bad,0,0,2,1.018888889,GT Bank,26,26.3,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,10000,11500,15,Test
825,Good,100,2,2,1.018888889,Fidelity Bank,28,28.2,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,11500,15,Test
826,Good,50,1,2,1.020833333,GT Bank,29,28.9,Permanent,Savings,0,1.5,3,2.022777778,1.011388889,365,365,0,1,10000,11500,15,Training
827,Good,100,2,2,1.019444444,GT Bank,49,49.4,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
828,Good,100,2,2,1.020277778,GT Bank,41,40.2,Permanent,Other,0,1.5,3,2.023611111,1.011805556,365,365,0,1,10000,11500,15,Training
829,Good,100,2,2,1.018888889,GT Bank,40,40.1,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,13000,30,Test
830,Good,50,1,2,1.003333333,Union Bank,29,29.1,Permanent,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,13000,30,Training
831,Good,100,2,2,1.019166667,UBA,46,45.8,Permanent,Other,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
832,Good,100,2,2,1.018888889,Access Bank,31,31.4,Unknown,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Test
833,Bad,0,0,2,1.018888889,Fidelity Bank,36,35.6,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,10000,11500,15,Training
834,Good,50,1,2,1.018888889,GT Bank,28,27.9,Permanent,Savings,0,1.5,3,2.021944444,1.010972222,365,365,0,1,10000,13000,30,Training
835,Bad,50,1,2,1.018611111,First Bank,29,29,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Test
836,Good,100,2,2,1.018888889,GT Bank,25,24.6,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
837,Good,50,1,2,1.014722222,Access Bank,22,21.5,Permanent,Savings,0,1.5,3,2.017222222,1.008611111,365,365,0,1,10000,11500,15,Training
838,Good,100,2,2,1.001944444,Access Bank,35,35.3,Permanent,Savings,2,1.5,3,2.003611111,1.001805556,365,365,1,1,10000,13000,30,Test
839,Good,50,1,2,1.02,Access Bank,30,30.4,Permanent,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Validation
840,Bad,50,1,2,1.019166667,First Bank,32,31.7,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Training
841,Bad,50,1,2,1.003888889,UBA,32,31.5,Permanent,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,1,10000,13000,30,Test
842,Good,100,2,2,1.003888889,GT Bank,33,33.1,Permanent,Savings,2,1.5,3,2.005833333,1.002916667,365,365,1,1,10000,13000,30,Test
843,Good,50,1,2,1.018611111,Access Bank,27,27,ContractRetiredUnemployed,Savings,0,1.5,3,2.021944444,1.010972222,365,365,0,1,10000,13000,30,Validation
844,Bad,50,1,2,1.019722222,FCMB,24,24.1,Unknown,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,11500,15,Validation
845,Good,50,1,2,1.003611111,Access Bank,26,26.4,Permanent,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,1,10000,13000,30,Training
846,Good,50,1,2,1.003888889,First Bank,30,29.7,Self-Employed,Other,0,1.5,3,2.0075,1.00375,365,365,0,1,10000,11500,15,Training
847,Good,100,2,2,1.018611111,GT Bank,42,42.2,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,11500,15,Training
848,Good,100,2,2,1.019722222,First Bank,38,38.1,Permanent,Savings,0,1.5,3,2.021944444,1.010972222,365,365,0,1,10000,13000,30,Test
849,Good,100,2,2,1.018888889,Diamond Bank,31,31.1,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,13000,30,Test
850,Good,50,1,2,1.018888889,Zenith Bank,44,43.5,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Validation
851,Good,100,2,2,1.018888889,Access Bank,32,32.1,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Training
852,Bad,0,0,2,1.019166667,Access Bank,50,49.6,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,0,10000,11500,15,Test
853,Bad,50,1,2,1.019166667,GT Bank,40,39.6,Permanent,Savings,0,1.5,3,2.037777778,1.018888889,365,365,0,1,10000,13000,30,Test
854,Good,100,2,2,1.019166667,Access Bank,25,25.2,Student,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Training
855,Good,100,2,2,1.02,GT Bank,30,30,Permanent,Savings,2,1.5,3,2.021666667,1.010833333,365,365,1,1,10000,11500,15,Training
856,Good,50,1,2,1.020277778,GT Bank,35,35,Permanent,Savings,2,1.5,3,2.022222222,1.011111111,365,365,1,1,10000,13000,30,Training
857,Good,100,2,2,1.020277778,Stanbic IBTC,30,29.9,Permanent,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,11500,15,Validation
858,Bad,50,1,2,1.018611111,UBA,23,22.6,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
859,Good,50,1,2,1.003333333,GT Bank,36,35.7,Unknown,Savings,2,1.5,3,2.004444444,1.002222222,365,365,1,1,10000,13000,30,Validation
860,Good,100,2,2,1.003888889,Zenith Bank,25,24.8,Unknown,Savings,0,1.5,3,2.006944444,1.003472222,365,365,0,1,10000,11500,15,Training
861,Good,50,1,2,1.018611111,GT Bank,30,29.8,Permanent,Other,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Validation
862,Good,100,2,2,1.019722222,Access Bank,31,31.3,Unknown,Savings,0,1.5,3,2.022222222,1.011111111,365,365,0,1,10000,11500,15,Validation
863,Good,100,2,2,1.020277778,First Bank,26,25.8,Permanent,Other,0,1.5,3,2.021944444,1.010972222,365,365,0,1,10000,11500,15,Test
864,Bad,0,0,2,1.004166667,First Bank,39,38.6,Permanent,Savings,0,1.5,3,2.006111111,1.003055556,365,365,0,0,10000,13000,30,Training
865,Good,100,2,2,1.019444444,Zenith Bank,37,37.4,Unknown,Savings,2,1.5,3,2.038611111,1.019305556,365,365,1,1,10000,13000,30,Test
866,Good,100,2,2,1.020277778,GT Bank,31,30.9,Permanent,Savings,0,1.5,3,2.022222222,1.011111111,365,365,0,1,10000,11500,15,Training
867,Good,100,2,2,1.019166667,GT Bank,40,40,Unknown,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Training
868,Good,100,2,2,1.018888889,UBA,31,30.7,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,11500,15,Training
869,Good,50,1,2,1.018888889,FCMB,31,30.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,11500,15,Training
870,Good,100,2,2,1.018888889,GT Bank,38,38.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Test
871,Good,100,2,2,1.001944444,Diamond Bank,43,42.9,Unknown,Savings,0,1.5,3,2.003611111,1.001805556,365,365,0,1,10000,13000,30,Validation
872,Good,50,1,2,1.018888889,GT Bank,43,43.4,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Validation
873,Good,50,1,2,1.019166667,GT Bank,31,31.1,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,11500,15,Test
874,Bad,0,0,2,1.018611111,GT Bank,23,22.7,Permanent,Other,0,1.5,3,2.020555556,1.010277778,365,365,0,0,10000,13000,30,Test
875,Good,50,1,2,1.019166667,GT Bank,47,47,Permanent,Savings,0,1.5,3,2.021944444,1.010972222,365,365,0,1,10000,11500,15,Test
876,Good,100,2,2,1.005833333,Access Bank,33,32.5,Unknown,Savings,0,1.5,3,2.009722222,1.004861111,365,365,0,1,10000,11500,15,Training
877,Good,100,2,2,1.018888889,GT Bank,30,29.7,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,13000,30,Training
878,Good,100,2,2,1.018888889,GT Bank,44,43.7,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
879,Good,100,2,2,1.0025,GT Bank,36,35.6,Permanent,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,13000,30,Training
880,Good,50,1,2,1.018888889,Access Bank,42,42.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Training
881,Good,100,2,2,1.019166667,First Bank,38,38.1,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,13000,30,Test
882,Good,100,2,2,1.02,Stanbic IBTC,50,50,Permanent,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,10000,13000,30,Validation
883,Bad,0,0,2,1.018888889,GT Bank,36,36.4,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,0,10000,11500,15,Test
884,Bad,0,0,2,1.642777778,UBA,31,30.6,Permanent,Savings,0,1.5,3,2.6475,1.32375,365,365,0,0,10000,13000,30,Training
885,Good,100,2,2,1.003333333,Zenith Bank,27,26.7,Permanent,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,13000,30,Training
886,Good,100,2,2,1.018888889,Access Bank,27,27.4,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
887,Good,100,2,2,1.018888889,GT Bank,38,38.3,Permanent,Savings,0,1.5,3,2.023055556,1.011527778,365,365,0,1,10000,13000,30,Test
888,Good,100,2,2,1.018611111,UBA,31,31.2,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,11500,15,Test
889,Bad,0,0,2,1.018611111,Access Bank,29,28.6,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,0,10000,13000,30,Training
890,Good,100,2,2,1.002222222,GT Bank,47,47,Permanent,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,1,10000,13000,30,Test
891,Good,50,1,2,1.018888889,GT Bank,32,32.1,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Training
892,Bad,0,0,2,1.018888889,GT Bank,43,43,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,13000,30,Validation
893,Good,50,1,2,1.001944444,Access Bank,25,25,Unknown,Savings,0,1.5,3,2.003611111,1.001805556,365,365,0,1,10000,13000,30,Validation
894,Bad,50,1,2,1.018888889,GT Bank,35,35.3,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
895,Good,50,1,2,1.019444444,First Bank,31,31.4,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Test
896,Good,100,2,2,1.020277778,GT Bank,32,31.8,Permanent,Other,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Test
897,Good,50,1,2,1.004722222,First Bank,33,32.9,Permanent,Savings,0,1.5,3,2.006388889,1.003194444,365,365,0,1,10000,13000,30,Training
898,Bad,0,0,2,1.018611111,UBA,41,40.9,Unknown,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,0,10000,11500,15,Test
899,Bad,50,1,2,1.019166667,GT Bank,33,33.4,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
900,Good,100,2,2,1.003611111,GT Bank,32,32.3,Permanent,Savings,0,1.5,3,2.005833333,1.002916667,365,365,0,1,10000,13000,30,Training
901,Good,100,2,2,1.03,GT Bank,31,31,Permanent,Savings,0,1.5,3,2.032222222,1.016111111,365,365,0,1,10000,11500,15,Validation
902,Good,50,1,2,1.018888889,GT Bank,27,27.2,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Validation
903,Bad,50,1,2,1.004166667,Access Bank,35,35.3,Permanent,Savings,0,1.5,3,2.006388889,1.003194444,365,365,0,1,10000,13000,30,Validation
904,Good,100,2,2,1.019166667,GT Bank,35,35.1,Unknown,Savings,2,1.5,3,2.021666667,1.010833333,365,365,1,1,10000,11500,15,Training
905,Good,100,2,2,1.018611111,GT Bank,42,41.7,Permanent,Savings,0,1.5,3,2.02,1.01,365,365,0,1,10000,11500,15,Test
906,Good,100,2,2,1.018611111,GT Bank,42,41.7,Permanent,Savings,0,1.5,3,2.02,1.01,365,365,0,1,10000,11500,15,Training
907,Good,100,2,2,1.002777778,GT Bank,44,44.1,Unknown,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,1,10000,11500,15,Test
908,Good,100,2,2,1.019166667,GT Bank,23,23.5,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Training
909,Good,100,2,2,1.019444444,GT Bank,28,28.4,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,11500,15,Training
910,Good,100,2,2,1.018611111,GT Bank,28,27.5,Student,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Training
911,Good,100,2,2,1.019444444,Zenith Bank,42,42.3,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Test
912,Good,100,2,2,1.005555556,Access Bank,34,34.1,Permanent,Savings,0,1.5,3,2.0075,1.00375,365,365,0,1,10000,11500,15,Training
913,Good,50,1,2,1.019166667,GT Bank,37,36.9,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,11500,15,Validation
914,Good,100,2,2,1.019166667,Access Bank,37,36.6,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Validation
915,Bad,50,1,2,1.018888889,Skye Bank,39,39.4,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,11500,15,Test
916,Good,50,1,2,1.019722222,GT Bank,37,37.1,Permanent,Savings,0,1.5,3,2.023611111,1.011805556,365,365,0,1,10000,13000,30,Training
917,Good,50,1,2,1.018888889,GT Bank,31,31.1,Permanent,Savings,0,1.5,3,2.021944444,1.010972222,365,334.5833333,0,1,10000,12500,30,Validation
918,Bad,50,1,2,1.018888889,Access Bank,31,30.7,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,273.75,1,1,10000,11500,15,Training
919,Good,100,2,2,1.002222222,Access Bank,32,31.8,Unknown,Savings,2,1.5,3,2.003888889,1.001944444,365,365,1,1,10000,11500,15,Test
920,Good,100,2,2,1.019166667,GT Bank,30,29.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
921,Good,100,2,2,1.018888889,Stanbic IBTC,28,27.7,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Training
922,Good,100,2,2,1.018888889,First Bank,33,33.3,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Test
923,Bad,50,1,2,1.018888889,EcoBank,41,41.4,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
924,Good,50,1,2,1.018888889,GT Bank,33,33.3,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Validation
925,Bad,50,1,2,1.004166667,Diamond Bank,33,32.7,Unknown,Savings,0,1.5,3,2.006388889,1.003194444,365,365,0,1,10000,13000,30,Training
926,Good,100,2,2,1.004444444,Zenith Bank,39,38.8,Unknown,Savings,0,1.5,3,2.006388889,1.003194444,365,365,0,1,10000,13000,30,Test
