,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,
414,Bad,UBA,60.17 - 60.23,Low - 28,9,15,High,High,No,Other,Norm,60.18333333,10000,11500,365,28,Other,Test
420,Good,EcoBank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,Norm,60.16666667,10000,13000,365,28,Other,Training
431,Good,Diamond Bank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,105.9833333,10000,11500,365,28,Savings,Training
437,Bad,Access Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Savings,Norm,60.1,10000,11500,365,28,Savings,Training
441,Good,First Bank,60.23 - 61.13,28 - 32,9,15,High,High,Yes,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Test
478,Bad,Stanbic IBTC,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Training
486,Bad,EcoBank,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.16666667,10000,11500,365,28,Savings,Training
489,Good,First Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Training
568,Good,Fidelity Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Test
569,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Validation
587,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.11666667,10000,13000,365,28,Savings,Training
600,Good,Diamond Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,28,Savings,Training
618,Good,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Test
622,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Training
625,Bad,Skye Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Test
640,Bad,Fidelity Bank,61.13 - High,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.15,10000,11500,365,28,Savings,Test
644,Good,First Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,28,Savings,Training
646,Bad,GT Bank,Low - 60.17,28 - 32,3,15,Low,High,Yes,Savings,Norm,60.11666667,10000,11500,365,28,Savings,Training
649,Good,First Bank,60.17 - 60.23,Low - 28,3,30,Low,High,Yes,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Test
664,Good,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,60.25,10000,11500,365,28,Savings,Training
705,Good,Diamond Bank,60.23 - 61.13,Low - 28,9,30,High,High,Yes,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Validation
759,Good,UBA,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,60.25,10000,11500,365,28,Savings,Training
766,Good,UBA,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,60.41666667,10000,11500,365,28,Savings,Test
771,Good,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Test
793,Good,UBA,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
806,Good,First Bank,60.23 - 61.13,Low - 28,3,30,Low,High,Yes,Savings,Norm,60.31666667,10000,13000,365,28,Savings,Validation
815,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.23333333,10000,13000,365,28,Savings,Training
827,Good,GT Bank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.28333333,10000,11500,365,28,Savings,Training
859,Good,GT Bank,60.23 - 61.13,Low - 28,9,15,High,High,Yes,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
879,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
882,Good,Heritage Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
887,Good,UBA,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
926,Good,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,60.3,10000,13000,365,28,Savings,Training
945,Good,EcoBank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.21666667,10000,11500,365,28,Savings,Validation
949,Good,GT Bank,61.13 - High,28 - 32,9,30,High,High,Yes,Savings,Norm,61.15,10000,13000,365,28,Savings,Test
957,Bad,Access Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.31666667,10000,13000,365,28,Savings,Validation
963,Good,Diamond Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Validation
969,Good,UBA,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Test
970,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.86666667,10000,11500,365,28,Savings,Validation
981,Good,EcoBank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.25,10000,11500,365,28,Savings,Training
982,Good,GT Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Savings,Norm,60.11666667,10000,11500,365,28,Savings,Validation
986,Good,First Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Savings,Norm,60.11666667,10000,11500,365,28,Savings,Test
1007,Good,Fidelity Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Other,Norm,60.11666667,10000,13000,365,28,Other,Training
1043,Good,GT Bank,Low - 60.17,Low - 28,6,15,Med,High,No,Other,Norm,60.15,10000,11500,365,28,Other,Test
1049,Good,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,61.11666667,10000,13000,365,28,Savings,Training
1097,Good,Access Bank,Low - 60.17,Low - 28,1,30,Low,Low,No,Other,Norm,60.15,10000,13000,365,28,Other,Training
1109,Good,GT Bank,Low - 60.17,28 - 32,2,30,Med,Low,No,Other,Norm,60.15,10000,13000,365,28,Other,Test
1113,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Validation
1135,Good,UBA,60.17 - 60.23,28 - 32,6,15,Med,High,No,Other,Norm,60.2,10000,11500,365,28,Other,Training
1140,Good,Zenith Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,28,Savings,Validation
1162,Good,Zenith Bank,61.13 - High,Low - 28,3,30,Low,High,No,Other,Norm,61.16666667,10000,13000,365,28,Other,Training
1174,Good,First Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
1210,Good,UBA,Low - 60.17,28 - 32,3,15,Low,High,No,Savings,Norm,60.16666667,10000,11500,365,28,Savings,Test
1212,Bad,GT Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,28,Savings,Training
1246,Good,Zenith Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Other,Norm,60.15,10000,11500,365,28,Other,Validation
1256,Good,First Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,Norm,60.1,10000,13000,365,28,Other,Training
1265,Good,Diamond Bank,60.23 - 61.13,28 - 32,9,15,High,High,Yes,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Test
1277,Bad,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Validation
1292,Good,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,High,Yes,Savings,Norm,60.4,10000,13000,365,28,Savings,Test
1306,Good,Diamond Bank,60.23 - 61.13,28 - 32,3,30,Low,High,Yes,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Test
1332,Bad,Access Bank,61.13 - High,Low - 28,9,30,High,High,No,Savings,Norm,61.16666667,10000,13000,365,28,Savings,Training
1349,Bad,Access Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Validation
1386,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Other,Norm,60.11666667,10000,13000,365,28,Other,Validation
1446,Good,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Validation
1465,Good,GT Bank,60.17 - 60.23,28 - 32,6,30,Med,High,No,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Training
1467,Good,GT Bank,60.17 - 60.23,28 - 32,2,15,Med,Low,No,Other,Norm,60.18333333,5000,5750,365,28,Other,Training
1487,Bad,First Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Training
1508,Good,UBA,60.17 - 60.23,28 - 32,9,30,High,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Test
1509,Good,EcoBank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Training
1566,Good,GT Bank,60.23 - 61.13,28 - 32,6,15,Med,High,No,Other,Norm,60.28333333,10000,11500,365,28,Other,Test
1608,Good,First Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Validation
1610,Bad,Access Bank,61.13 - High,28 - 32,3,30,Low,High,Yes,Savings,Norm,99.2,10000,13000,365,28,Savings,Training
1623,Good,Diamond Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Other,Norm,60.11666667,10000,11500,365,28,Other,Training
1624,Good,GT Bank,Low - 60.17,28 - 32,1,15,Low,Low,No,Other,Norm,60.1,10000,11500,365,28,Other,Validation
1629,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
1655,Good,GT Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,28,Savings,Test
1664,Good,GT Bank,60.17 - 60.23,28 - 32,9,30,High,High,No,Other,Norm,60.21666667,10000,13000,365,28,Other,Test
1735,Bad,FCMB,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Test
1736,Good,UBA,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,60.3,10000,13000,365,28,Savings,Test
1779,Good,Access Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
1819,Good,Diamond Bank,61.13 - High,28 - 32,3,30,Low,High,No,Savings,Norm,61.2,10000,13000,365,28,Savings,Test
1827,Good,Access Bank,Low - 60.17,Low - 28,1,15,Low,Low,No,Other,Norm,60.16666667,10000,11500,365,28,Other,Validation
1830,Good,Access Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Other,Norm,60.16666667,10000,13000,365,28,Other,Validation
1922,Bad,GT Bank,61.13 - High,Low - 28,3,30,Low,High,Yes,Savings,Norm,61.3,10000,13000,365,28,Savings,Training
1943,Good,First Bank,61.13 - High,Low - 28,9,30,High,High,No,Savings,Norm,61.16666667,10000,13000,365,28,Savings,Test
1950,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
1984,Good,Access Bank,60.17 - 60.23,28 - 32,1,30,Low,Low,No,Other,Norm,60.23333333,10000,13000,365,28,Other,Training
1988,Good,GT Bank,61.13 - High,28 - 32,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,28,Savings,Test
2028,Good,GT Bank,Low - 60.17,28 - 32,9,15,High,High,Yes,Savings,Norm,60.16666667,10000,11500,365,28,Savings,Training
2044,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
2049,Bad,First Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Training
2060,Bad,First Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,11500,182.5,28,Savings,Test
2063,Good,Stanbic IBTC,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Validation
2078,Good,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,High,Yes,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
2106,Good,GT Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
2109,Bad,GT Bank,Low - 60.17,Low - 28,9,15,High,High,No,Savings,Norm,60.1,10000,11500,365,28,Savings,Training
2110,Bad,First Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.15,10000,13000,365,28,Savings,Validation
2117,Good,GT Bank,61.13 - High,28 - 32,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,28,Savings,Test
2193,Good,GT Bank,Low - 60.17,28 - 32,9,30,High,High,No,Savings,Norm,60.13333333,10000,13000,365,28,Savings,Training
2194,Good,UBA,Low - 60.17,28 - 32,9,30,High,High,No,Other,Norm,60.13333333,10000,13000,365,28,Other,Training
2200,Good,UBA,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Validation
2215,Good,UBA,Low - 60.17,28 - 32,3,15,Low,High,Yes,Savings,Norm,60.13333333,10000,11500,365,28,Savings,Test
2224,Good,UBA,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Validation
2275,Good,UBA,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.26666667,10000,13000,365,28,Savings,Validation
2306,Good,Diamond Bank,61.13 - High,28 - 32,9,15,High,High,No,Savings,Norm,100.8333333,10000,11500,365,28,Savings,Test
2322,Good,GT Bank,61.13 - High,28 - 32,3,15,Low,High,No,Savings,Norm,113.3333333,10000,11500,365,28,Savings,Test
2330,Good,EcoBank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.16666667,10000,13000,365,28,Savings,Test
2364,Good,UBA,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.11666667,10000,13000,365,28,Savings,Validation
2365,Bad,Stanbic IBTC,60.17 - 60.23,28 - 32,2,30,Med,Low,No,Other,Norm,60.18333333,10000,13000,365,28,Other,Test
2382,Good,UBA,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.38333333,10000,11500,365,28,Savings,Test
2391,Good,Diamond Bank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,60.31666667,10000,13000,365,28,Savings,Training
2399,Bad,GT Bank,61.13 - High,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.18333333,10000,11500,365,28,Savings,Test
2403,Good,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
2404,Bad,Zenith Bank,61.13 - High,28 - 32,9,15,High,High,Yes,Savings,Norm,61.15,10000,11500,365,28,Savings,Test
2424,Good,GT Bank,Low - 60.17,28 - 32,2,30,Med,Low,No,Other,Norm,60.13333333,10000,13000,365,28,Other,Training
2443,Bad,GT Bank,Low - 60.17,28 - 32,1,30,Low,Low,No,Savings,Norm,60.15,10000,13000,365,28,Savings,Validation
2450,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,Yes,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Test
2451,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
2473,Good,Fidelity Bank,60.17 - 60.23,Low - 28,3,30,Low,High,Yes,Savings,Norm,60.23333333,10000,13000,365,28,Savings,Test
2489,Good,First Bank,61.13 - High,28 - 32,9,15,High,High,No,Savings,Norm,61.16666667,10000,11500,365,28,Savings,Training
2512,Good,UBA,60.23 - 61.13,Low - 28,3,30,Low,High,Yes,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Validation
2519,Good,UBA,61.13 - High,28 - 32,3,30,Low,High,Yes,Savings,Norm,61.15,10000,13000,365,28,Savings,Test
2547,Bad,GT Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,28,Savings,Training
2558,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Test
2562,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
2574,Bad,GT Bank,Low - 60.17,28 - 32,9,15,High,High,No,Savings,Norm,60.15,10000,11500,365,28,Savings,Training
2596,Good,FCMB,Low - 60.17,Low - 28,3,30,Low,High,Yes,Savings,Norm,60.15,10000,13000,365,28,Savings,Training
2608,Good,First Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.21666667,10000,11500,365,28,Savings,Validation
2623,Good,Access Bank,Low - 60.17,28 - 32,9,30,High,High,No,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Validation
2637,Bad,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Validation
2642,Good,GT Bank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,60.5,10000,13000,365,28,Savings,Validation
2692,Good,EcoBank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,28,Savings,Test
2710,Good,Access Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
2715,Bad,GT Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.25,10000,13000,365,28,Savings,Validation
2777,Good,Access Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,28,Savings,Training
2815,Bad,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.11666667,10000,13000,365,28,Savings,Training
2819,Good,Sterling Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.21666667,10000,13000,365,28,Savings,Validation
2838,Good,Access Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Training
2844,Good,GT Bank,61.13 - High,28 - 32,3,30,Low,High,Yes,Savings,Norm,61.15,10000,13000,365,28,Savings,Training
2845,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.23333333,10000,13000,365,28,Savings,Training
2855,Good,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Validation
2862,Good,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
2863,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.65,10000,11500,365,28,Savings,Validation
2865,Good,UBA,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Training
2940,Good,UBA,60.23 - 61.13,Low - 28,1,30,Low,Low,No,Other,Norm,60.25,10000,13000,365,28,Other,Validation
2955,Good,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.16666667,10000,13000,365,28,Other,Validation
2966,Bad,First Bank,60.17 - 60.23,28 - 32,6,15,Med,High,No,Other,Norm,60.18333333,10000,11500,365,28,Other,Training
2977,Good,GT Bank,60.23 - 61.13,28 - 32,9,30,High,High,No,Savings,Norm,60.81666667,10000,13000,365,28,Savings,Test
2991,Good,Diamond Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Training
3074,Good,GT Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.15,10000,11500,365,28,Other,Test
3111,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Test
3123,Good,Keystone Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Savings,Norm,60.15,10000,11500,365,28,Savings,Test
3129,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Other,Norm,60.11666667,10000,13000,365,28,Other,Training
3139,Bad,UBA,61.13 - High,Low - 28,9,30,High,High,No,Savings,Norm,74.03333333,10000,13000,365,28,Savings,Training
3150,Good,Fidelity Bank,60.23 - 61.13,28 - 32,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
3184,Good,GT Bank,Low - 60.17,28 - 32,9,30,High,High,Yes,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Training
3188,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Training
3199,Bad,GT Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,28,Savings,Test
3200,Good,First Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Validation
3219,Good,Access Bank,60.23 - 61.13,28 - 32,1,15,Low,Low,No,Other,Norm,60.25,7000,8050,365,28,Other,Test
3224,Good,UBA,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.1,10000,13000,365,28,Savings,Test
3226,Bad,Skye Bank,60.23 - 61.13,28 - 32,9,30,High,High,No,Savings,Norm,60.68333333,10000,13000,365,28,Savings,Training
3261,Bad,GT Bank,Low - 60.17,28 - 32,1,30,Low,Low,No,Other,Norm,60.11666667,10000,13000,365,28,Other,Training
3306,Good,Diamond Bank,60.23 - 61.13,Low - 28,1,30,Low,Low,No,Other,Norm,60.41666667,10000,13000,365,28,Other,Validation
3321,Bad,GT Bank,Low - 60.17,28 - 32,6,15,Med,High,No,Other,Norm,60.15,10000,11500,365,28,Other,Validation
3333,Good,Diamond Bank,Low - 60.17,Low - 28,9,15,High,High,No,Other,Norm,60.16666667,10000,11500,365,28,Other,Training
3365,Good,GT Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Savings,Norm,60.11666667,10000,11500,365,28,Savings,Test
3366,Bad,Access Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,28,Savings,Training
3372,Good,GT Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Validation
3449,Good,First Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Validation
3454,Good,GT Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Validation
3498,Good,Zenith Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,28,Savings,Validation
3514,Good,GT Bank,61.13 - High,28 - 32,3,15,Low,High,No,Savings,Norm,61.16666667,10000,11500,365,28,Savings,Validation
3533,Bad,GT Bank,60.23 - 61.13,28 - 32,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Validation
3545,Good,Stanbic IBTC,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Test
3579,Good,Diamond Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,28,Savings,Validation
3603,Good,UBA,60.17 - 60.23,28 - 32,9,15,High,High,No,Savings,Norm,60.23333333,10000,11500,365,28,Savings,Training
3607,Good,Zenith Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,28,Savings,Test
3621,Good,UBA,60.23 - 61.13,28 - 32,9,15,High,High,No,Savings,Norm,60.31666667,10000,11500,365,28,Savings,Validation
3657,Bad,GT Bank,61.13 - High,28 - 32,9,15,High,High,No,Savings,Norm,61.16666667,10000,11500,365,28,Savings,Validation
3678,Good,Access Bank,60.23 - 61.13,Low - 28,1,15,Low,Low,No,Other,Norm,60.25,10000,11500,365,28,Other,Validation
3680,Bad,Fidelity Bank,Low - 60.17,Low - 28,2,30,Med,Low,No,Other,Norm,60.13333333,10000,13000,365,28,Other,Test
3689,Bad,GT Bank,60.23 - 61.13,28 - 32,9,30,High,High,No,Savings,Norm,60.26666667,10000,13000,365,28,Savings,Training
3692,Bad,Access Bank,60.23 - 61.13,28 - 32,6,30,Med,High,No,Savings,Norm,60.28333333,10000,13000,365,28,Savings,Validation
3696,Bad,First Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,28,Savings,Training
3716,Good,GT Bank,60.17 - 60.23,28 - 32,9,30,High,High,No,Other,Norm,60.2,10000,13000,365,28,Other,Training
3719,Good,GT Bank,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.25,10000,11500,365,28,Savings,Training
3745,Good,GT Bank,61.13 - High,28 - 32,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,28,Savings,Training
3751,Good,Stanbic IBTC,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,28,Savings,Validation
3761,Bad,Skye Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,28,Savings,Test
3773,Good,First Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Other,Norm,60.7,10000,13000,365,28,Other,Test
3783,Bad,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Other,Norm,60.21666667,10000,13000,365,28,Other,Validation
3793,Bad,Heritage Bank,Low - 60.17,28 - 32,6,15,Med,High,No,Savings,Norm,60.15,10000,11500,365,28,Savings,Validation
3833,Good,UBA,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,28,Savings,Training
3852,Good,EcoBank,Low - 60.17,28 - 32,4,30,Med,Med,No,Savings,Norm,60.15,10000,13000,365,28,Savings,Test
3863,Good,EcoBank,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.11666667,10000,13000,365,28,Savings,Validation
3869,Bad,Access Bank,61.13 - High,28 - 32,3,15,Low,High,Yes,Savings,Norm,107.4666667,10000,11500,365,28,Savings,Training
3870,Good,Access Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,60.46666667,10000,11500,365,28,Savings,Training
3878,Good,GT Bank,61.13 - High,28 - 32,3,15,Low,High,No,Savings,Norm,61.38333333,10000,11500,365,28,Savings,Validation
3887,Good,Diamond Bank,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.11666667,10000,11500,365,28,Savings,Training
3888,Bad,GT Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Validation
3892,Bad,Zenith Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,28,Savings,Validation
3894,Good,GT Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Savings,Norm,60.16666667,10000,11500,365,28,Savings,Training
