Good_or_Bad,termdays,referral,bank_account_type_recode,bank_name_clients,employment_status_clients_Risk,DemoCreditRating,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups
Good,30,No,Savings,GT Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,30,No,Savings,Skye Bank,Low,3,32 - 36,Low - 60.17,Norm
Bad,15,No,Savings,FCMB,Low,3,Low - 28,61.13 - High,Norm
Good,30,No,Savings,UBA,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,First Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Skye Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Bad,30,No,Savings,First Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,15,No,Savings,Zenith Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Savings,UBA,Low,3,Low - 28,60.17 - 60.23,Norm
Good,15,No,Savings,Access Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,Zenith Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,UBA,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Wema Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,15,No,Savings,First Bank,High,9,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,Diamond Bank,Low,3,36 - High,Low - 60.17,Norm
Good,15,No,Other,Access Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Bad,15,No,Other,Access Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Savings,Diamond Bank,Low,1,32 - 36,60.17 - 60.23,Norm
Good,30,No,Other,First Bank,Low,1,32 - 36,60.23 - 61.13,Norm
Good,30,No,Other,GT Bank,Med,6,36 - High,Low - 60.17,Norm
Bad,30,No,Savings,Diamond Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,15,No,Savings,Zenith Bank,Low,1,Low - 28,Low - 60.17,Norm
Good,15,No,Savings,Wema Bank,Low,1,36 - High,Low - 60.17,Norm
Good,30,No,Savings,Fidelity Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,Yes,Savings,GT Bank,Low,3,36 - High,60.23 - 61.13,Norm
Bad,30,No,Savings,Diamond Bank,High,9,Low - 28,60.23 - 61.13,Norm
Bad,30,No,Savings,First Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,Diamond Bank,Low,3,Low - 28,61.13 - High,Norm
Bad,30,Yes,Savings,GT Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Diamond Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,Access Bank,High,9,32 - 36,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,Low,3,36 - High,60.23 - 61.13,Norm
Bad,15,No,Savings,First Bank,High,9,Low - 28,Low - 60.17,Norm
Good,30,No,Savings,GT Bank,High,9,36 - High,60.23 - 61.13,Norm
Bad,15,No,Savings,Access Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,Diamond Bank,Low,3,28 - 32,61.13 - High,Norm
Bad,15,No,Savings,EcoBank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,High,9,32 - 36,60.23 - 61.13,Norm
Good,15,Yes,Savings,GT Bank,High,9,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,High,9,Low - 28,61.13 - High,Norm
Good,30,No,Other,UBA,Med,6,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,Skye Bank,Med,4,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,Zenith Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Bad,30,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,Zenith Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Bad,15,No,Savings,First Bank,High,9,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,First Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,30,No,Other,Diamond Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Stanbic IBTC,Low,3,36 - High,Low - 60.17,Norm
Good,30,No,Savings,UBA,Low,3,36 - High,Low - 60.17,Norm
Good,15,No,Savings,First Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,First Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,Yes,Savings,Access Bank,High,9,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,UBA,Med,2,32 - 36,Low - 60.17,Norm
Good,30,No,Other,GT Bank,Low,1,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,Access Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Bad,15,Yes,Savings,Sterling Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,High,9,36 - High,60.23 - 61.13,Norm
Good,30,Yes,Savings,UBA,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,Yes,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Bad,30,No,Savings,UBA,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Skye Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,3,28 - 32,61.13 - High,Norm
Bad,30,No,Savings,GT Bank,Med,4,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,FCMB,Med,6,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,FCMB,High,9,28 - 32,60.17 - 60.23,Norm
Good,30,Yes,Savings,EcoBank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,30,No,Other,First Bank,Med,6,32 - 36,60.17 - 60.23,Norm
Good,15,No,Other,Zenith Bank,Med,2,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Other,EcoBank,Med,6,Low - 28,60.17 - 60.23,Norm
Good,30,No,Other,Skye Bank,Med,6,Low - 28,60.17 - 60.23,Norm
Bad,30,No,Savings,Union Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,No,Savings,First Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,Low - 60.17,Norm
Bad,15,No,Savings,EcoBank,Low,3,Low - 28,61.13 - High,Norm
Good,30,No,Savings,First Bank,Low,3,Low - 28,61.13 - High,Norm
Good,30,No,Savings,First Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,EcoBank,High,9,Low - 28,61.13 - High,Norm
Good,15,No,Savings,Access Bank,High,9,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,Access Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,Yes,Savings,Skye Bank,High,9,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,UBA,Low,3,36 - High,60.23 - 61.13,Norm
Bad,30,No,Savings,EcoBank,Low,1,28 - 32,61.13 - High,Norm
Good,30,No,Savings,Access Bank,Low,3,32 - 36,61.13 - High,Norm
Good,15,No,Savings,Access Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,First Bank,High,9,36 - High,60.23 - 61.13,Norm
Good,30,No,Other,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,First Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,UBA,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Bad,15,No,Savings,First Bank,High,9,36 - High,Low - 60.17,Norm
Good,15,Yes,Savings,UBA,High,9,32 - 36,60.23 - 61.13,Norm
Bad,15,Yes,Savings,GT Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,30,Yes,Savings,Stanbic IBTC,Low,3,36 - High,Low - 60.17,Norm
Good,30,No,Savings,GT Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,30,No,Savings,UBA,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,Yes,Savings,Diamond Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,30,Yes,Savings,GT Bank,Low,3,Low - 28,61.13 - High,Norm
Good,30,No,Savings,UBA,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,First Bank,High,9,36 - High,60.17 - 60.23,Norm
Bad,30,No,Savings,GT Bank,High,9,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,Sterling Bank,High,9,32 - 36,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,High,9,36 - High,Low - 60.17,Norm
Good,15,No,Other,GT Bank,Low,1,36 - High,60.23 - 61.13,Norm
Good,30,No,Other,UBA,Med,6,36 - High,Low - 60.17,Norm
Bad,30,No,Savings,Zenith Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,Med,6,36 - High,60.17 - 60.23,Norm
Good,15,No,Other,GT Bank,High,6,Low - 28,Low - 60.17,Norm
Good,15,No,Other,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Bad,30,No,Savings,First Bank,High,9,Low - 28,Low - 60.17,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,No,Other,GT Bank,Low,1,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,First Bank,High,9,Low - 28,61.13 - High,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Bad,15,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,High,9,36 - High,60.23 - 61.13,Norm
Bad,30,No,Savings,GT Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,15,Yes,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,EcoBank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,UBA,Low,1,32 - 36,60.17 - 60.23,Norm
Good,15,No,Other,First Bank,Low,1,32 - 36,60.17 - 60.23,Norm
Good,15,No,Other,First Bank,Low,2,36 - High,Low - 60.17,Norm
Good,30,No,Other,First Bank,Low,1,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,EcoBank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,Yes,Savings,FCMB,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,High,9,36 - High,61.13 - High,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,Yes,Savings,UBA,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,Yes,Savings,Zenith Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,No,Other,First Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,GT Bank,Low,2,Low - 28,Low - 60.17,Norm
Good,30,Yes,Other,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Other,Zenith Bank,Low,1,28 - 32,Low - 60.17,Norm
Good,15,No,Other,GT Bank,Low,1,28 - 32,60.17 - 60.23,Norm
Bad,30,No,Savings,GT Bank,Low,3,Low - 28,Low - 60.17,Norm
Good,15,No,Other,Zenith Bank,Med,6,36 - High,60.23 - 61.13,Norm
Good,30,No,Other,Diamond Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,No,Other,Stanbic IBTC,Low,3,36 - High,60.17 - 60.23,Norm
Good,30,No,Other,Access Bank,Low,1,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,61.13 - High,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,61.13 - High,Norm
Good,15,No,Savings,GT Bank,High,9,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,UBA,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Bad,15,No,Savings,GT Bank,High,9,Low - 28,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,High,9,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,First Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,FCMB,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,Yes,Savings,Skye Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,No,Other,Diamond Bank,Low,3,32 - 36,61.13 - High,Norm
Good,15,No,Other,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Bad,15,No,Savings,GT Bank,Med,6,28 - 32,Low - 60.17,Norm
Good,15,No,Other,Access Bank,Low,1,32 - 36,60.17 - 60.23,Norm
Good,30,No,Other,Diamond Bank,Med,6,36 - High,Low - 60.17,Norm
Bad,30,No,Other,Diamond Bank,Med,6,36 - High,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,15,Yes,Savings,GT Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,EcoBank,Low,3,32 - 36,Low - 60.17,Norm
Bad,30,No,Savings,UBA,Low,3,36 - High,Low - 60.17,Norm
Good,30,No,Savings,Access Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,Low,3,36 - High,60.23 - 61.13,Norm
Bad,30,No,Savings,Access Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,36 - High,Low - 60.17,Norm
Good,15,Yes,Savings,GT Bank,High,9,28 - 32,Low - 60.17,Norm
Good,15,Yes,Savings,GT Bank,High,9,Low - 28,Low - 60.17,Norm
Good,30,No,Savings,FCMB,Low,3,32 - 36,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,Yes,Savings,FCMB,High,9,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,UBA,High,9,32 - 36,61.13 - High,Norm
Good,15,No,Other,Zenith Bank,Med,2,36 - High,60.17 - 60.23,Norm
Bad,15,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,First Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,UBA,Low,3,Low - 28,60.23 - 61.13,Norm
Bad,15,No,Other,EcoBank,Low,1,Low - 28,60.23 - 61.13,Norm
Bad,15,No,Other,First Bank,Low,2,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,Yes,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,15,Yes,Savings,Diamond Bank,High,9,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,GT Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,Diamond Bank,Low,3,Low - 28,61.13 - High,Norm
Good,30,No,Savings,First Bank,High,9,Low - 28,Low - 60.17,Norm
Bad,30,No,Savings,First Bank,Low,3,Low - 28,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Savings,First Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Diamond Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,Skye Bank,High,9,Low - 28,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Bad,30,No,Savings,First Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Bad,15,No,Savings,GT Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,36 - High,61.13 - High,Norm
Good,15,Yes,Savings,UBA,Low,3,36 - High,60.23 - 61.13,Norm
Good,30,No,Savings,Fidelity Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,Yes,Savings,Skye Bank,Low,3,32 - 36,61.13 - High,Norm
Bad,30,No,Savings,Stanbic IBTC,High,9,36 - High,60.23 - 61.13,Norm
Good,30,Yes,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,Skye Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,EcoBank,High,9,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,Low,1,36 - High,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Bad,15,No,Savings,First Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,15,No,Savings,Stanbic IBTC,High,9,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Zenith Bank,Low,3,Low - 28,61.13 - High,Norm
Good,30,Yes,Savings,Skye Bank,Low,3,36 - High,60.17 - 60.23,Norm
Bad,15,No,Savings,Zenith Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,First Bank,Low,3,36 - High,60.23 - 61.13,Norm
Bad,30,No,Savings,Skye Bank,Low,3,36 - High,Low - 60.17,Norm
Bad,15,No,Savings,GT Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,15,No,Savings,EcoBank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,30,Yes,Savings,Access Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,FCMB,High,9,28 - 32,60.17 - 60.23,Norm
Bad,15,No,Savings,GT Bank,High,9,Low - 28,Low - 60.17,Norm
Good,15,No,Savings,Diamond Bank,High,9,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,Zenith Bank,Low,3,36 - High,Low - 60.17,Norm
Good,15,No,Savings,Access Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,Keystone Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,No,Savings,Zenith Bank,High,9,32 - 36,60.23 - 61.13,Norm
Good,15,No,Savings,Skye Bank,High,3,36 - High,60.23 - 61.13,Norm
Good,30,No,Savings,Fidelity Bank,Low,3,28 - 32,61.13 - High,Norm
Good,15,Yes,Savings,UBA,Low,3,Low - 28,Low - 60.17,Norm
Good,30,Yes,Savings,Skye Bank,Low,3,36 - High,Low - 60.17,Norm
Bad,30,No,Savings,GT Bank,Low,3,36 - High,Low - 60.17,Norm
Good,15,No,Savings,Access Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Bad,15,No,Savings,FCMB,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,Yes,Savings,Access Bank,High,9,28 - 32,61.13 - High,Norm
Good,15,No,Savings,Access Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,High,9,36 - High,60.17 - 60.23,Norm
Good,30,No,Savings,First Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Bad,15,No,Savings,First Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,No,Other,Heritage Bank,Low,1,32 - 36,60.17 - 60.23,Norm
Good,30,No,Savings,Zenith Bank,Med,6,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,Stanbic IBTC,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Savings,Access Bank,Low,1,Low - 28,61.13 - High,Norm
Bad,15,No,Other,Diamond Bank,Low,1,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,Skye Bank,Low,3,36 - High,60.23 - 61.13,Norm
Bad,30,No,Savings,UBA,High,9,Low - 28,60.17 - 60.23,Norm
Bad,15,No,Savings,Zenith Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,15,No,Savings,UBA,Low,3,36 - High,60.23 - 61.13,Norm
Good,30,No,Savings,Zenith Bank,Low,3,36 - High,61.13 - High,Norm
Good,15,No,Savings,Access Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,15,No,Savings,Access Bank,High,9,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Stanbic IBTC,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,Stanbic IBTC,Low,3,28 - 32,60.17 - 60.23,Norm
Good,15,Yes,Savings,FCMB,High,9,36 - High,60.23 - 61.13,Norm
Good,30,No,Savings,Access Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Bad,30,No,Savings,Fidelity Bank,High,9,32 - 36,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,Low - 28,61.13 - High,Norm
Bad,30,No,Savings,Zenith Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Diamond Bank,Low,3,36 - High,60.17 - 60.23,Norm
Bad,15,No,Savings,Keystone Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,No,Savings,UBA,Low,3,28 - 32,60.23 - 61.13,Norm
Bad,15,No,Savings,First Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,UBA,Low,1,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Access Bank,Low,3,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,Fidelity Bank,High,9,Low - 28,61.13 - High,Norm
Good,15,No,Savings,Access Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,Yes,Savings,GT Bank,Low,3,28 - 32,61.13 - High,Norm
Good,30,No,Savings,GT Bank,High,9,28 - 32,Low - 60.17,Norm
Good,30,No,Other,UBA,High,9,28 - 32,Low - 60.17,Norm
Bad,15,No,Other,UBA,High,9,Low - 28,Low - 60.17,Norm
Good,15,No,Savings,Diamond Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Bad,15,Yes,Savings,GT Bank,High,9,32 - 36,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,UBA,Low,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,FCMB,High,9,36 - High,60.23 - 61.13,Norm
Good,15,No,Savings,FCMB,Low,3,36 - High,60.23 - 61.13,Norm
Good,30,Yes,Savings,GT Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,30,Yes,Savings,GT Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,Yes,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,Yes,Savings,Zenith Bank,High,9,28 - 32,Low - 60.17,Norm
Good,15,Yes,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,Yes,Savings,Skye Bank,Low,3,28 - 32,61.13 - High,Norm
Good,15,Yes,Savings,UBA,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Other,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,15,No,Other,First Bank,Low,3,Low - 28,Low - 60.17,Norm
Bad,30,No,Other,Diamond Bank,Low,1,32 - 36,Low - 60.17,Norm
Good,30,No,Savings,Standard Chartered,Low,3,28 - 32,61.13 - High,Norm
Good,30,No,Other,GT Bank,Low,3,32 - 36,61.13 - High,Norm
Good,15,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,No,Savings,Diamond Bank,Med,6,Low - 28,61.13 - High,Norm
Good,30,No,Savings,UBA,Low,3,28 - 32,60.17 - 60.23,Norm
Good,30,No,Savings,Zenith Bank,Low,3,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,First Bank,High,9,36 - High,60.17 - 60.23,Norm
Good,15,No,Savings,Zenith Bank,Low,3,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,15,No,Other,First Bank,Low,3,28 - 32,Low - 60.17,Norm
Good,30,No,Savings,Fidelity Bank,Low,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Savings,Access Bank,High,9,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,FCMB,Low,3,32 - 36,61.13 - High,Norm
Good,30,No,Savings,UBA,High,9,32 - 36,61.13 - High,Norm
Good,30,No,Savings,Diamond Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,Yes,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,Yes,Savings,Zenith Bank,Low,3,28 - 32,60.23 - 61.13,Norm
Good,30,No,Savings,EcoBank,High,9,32 - 36,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,28 - 32,61.13 - High,Norm
Good,30,No,Savings,FCMB,Low,3,32 - 36,Low - 60.17,Norm
Good,15,No,Savings,GT Bank,High,9,36 - High,60.23 - 61.13,Norm
Bad,15,No,Savings,EcoBank,Low,3,Low - 28,Low - 60.17,Norm
Good,30,No,Other,Keystone Bank,Med,2,28 - 32,60.17 - 60.23,Norm
Good,30,No,Other,Diamond Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,30,No,Savings,GT Bank,Low,3,36 - High,61.13 - High,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm
Good,15,No,Savings,GT Bank,Low,3,36 - High,61.13 - High,Norm
Good,15,No,Savings,GT Bank,Low,3,28 - 32,60.17 - 60.23,Norm
Bad,30,No,Savings,GT Bank,Low,3,32 - 36,61.13 - High,Norm
Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.17 - 60.23,Norm
Good,30,No,Other,First Bank,Low,3,36 - High,60.17 - 60.23,Norm
Bad,30,No,Savings,First Bank,High,3,Low - 28,60.17 - 60.23,Norm
Good,30,No,Other,UBA,Low,3,32 - 36,60.23 - 61.13,Norm
Good,15,No,Savings,Wema Bank,High,9,32 - 36,60.17 - 60.23,Norm
Good,15,No,Savings,GT Bank,Low,3,Low - 28,60.17 - 60.23,Norm
