Source,good_bad_flag of perf-trainperf,termdays,referral,bank_account_type_recode,bank_name_clients,employment_status_clients_Risk,DemoCreditRating,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups,___Class___,___Validation___,No Weighting,Weighting,Undersampling,Oversampling,Tomek,SMOTE plus Tomek,Naive No Weighting,Naive Weighting,Naive Under Sampling,Naive Over Sampling,Naive SMOTE,Naive Tomek,Naive SMOTE plus Tomek,Neural No Weighting,Neural Weighting,Neural Under Sampling,Neural Over Sampling,Neural SMOTE,Neural Tomek,Neural SMOTE plus Tomek,BootstrapForest No Weighting,BootstrapForest Weighting,BootstrapForest Under Sampling,BootstrapForest Over Sampling,BootstrapForest SMOTE,BootstrapForest Tomek,BootstrapForest SMOTE plus Tomek,BoostedTree No Weighting,BoostedTree Weighting,BoostedTree Under Sampling,BoostedTree Over Sampling,BoostedTree SMOTE,BoostedTree Tomek,BoostedTree SMOTE plus Tomek,SVM No Weighting,SVM Weighting,SVM Under Sampling,SVM Over Sampling,SVM SMOTE,SVM Tomek,SVM SMOTE plus Tomek,GenReg No Weighting,GenReg Weighting,GenReg Under Sampling,GenReg Over Sampling,GenReg SMOTE,GenReg Tomek,GenReg SMOTE plus Tomek,Prob(good_bad_flag of perf-trainperf==Bad),Prob(good_bad_flag of perf-trainperf==Good),Most Likely good_bad_flag of perf-trainperf
Training Set for Newloandemo_4344,Good,30,Yes,Savings,Fidelity Bank,Low,3,36 - High,60.23 - 61.13,Norm,0,Validation,1,1,0,1,1,1,0.29771935,0.60289066,0.77167846,0.56567889,0.61443688,0.30967099,0.62549301,0.243322369,0.741383932,0.712465861,0.706743778,0.552146925,0.352532318,0.667951526,,,0.655582421,,,0.345310549,,0.204855403,0.502516239,0.728340263,0.323572822,0.53589957,0.244906584,0.5879956,0.3163571,0.62480961,0.74676534,0.52162846,0.53737791,0.30218282,0.54179481,0.218200225,0.508665192,0.508422959,0.509879976,0.629534503,0.230416963,0.584610049,0.418070939,0.581929062,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm,0,Training,1,1,1,1,1,1,0.1914911,0.46001844,0.47667336,0.45097971,0.56646295,0.1954888,0.56850309,0.175965657,0.490823778,0.47628152,0.428091756,0.571329576,0.199702517,0.623141089,,,0.363729649,,,0.179731885,,0.223066484,0.490479841,0.48666739,0.511553067,0.561065273,0.231213276,0.567446762,0.16432817,0.24946402,0.31312937,0.22608899,0.73563213,0.16355192,0.73516831,0.205750116,0.480253829,0.504499219,0.494816472,0.557746015,0.207527415,0.571017778,0.676819941,0.323180059,Bad
Training Set for Newloandemo_4344,Good,30,Yes,Savings,Stanbic IBTC,Low,3,36 - High,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.13321575,0.35487725,0.42825669,0.34844537,0.39191252,0.14906104,0.39154424,0.190754483,0.213606308,0.426444939,0.260894708,0.410466498,0.170511388,0.3137265,,,0.52174297,,,0.086843671,,0.203866253,0.490091796,0.727136423,0.323572822,0.287341317,0.244906584,0.506233875,0.15012896,0.26224359,0.52714132,0.27373324,0.23235726,0.16557436,0.20834773,0.191109426,0.44845909,0.473200848,0.474351383,0.358913219,0.208062941,0.332744194,0.40430683,0.59569317,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,UBA,Low,3,Low - 28,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.28557668,0.58969996,0.52645731,0.56947319,0.67911152,0.30653882,0.69539901,0.271480644,0.618946874,0.545232242,0.696574825,0.709714566,0.29996427,0.596974274,,,0.563455946,,,0.325517184,,0.22926948,0.539267303,0.524181232,0.526809618,0.63948051,0.253736084,0.642548175,0.16652486,0.64175021,0.67401486,0.54170665,0.73722137,0.16373751,0.7443542,0.236262823,0.539087962,0.575057211,0.52115744,0.576491256,0.260100131,0.583530866,0.70379286,0.29620714,Bad
Training Set for Newloandemo_4344,Bad,15,No,Savings,Stanbic IBTC,Low,3,Low - 28,61.13 - High,Norm,1,Training,1,3.586726998,1,4,1,1,0.12587539,0.34032997,0.36992557,0.36379975,0.39898272,0.1438116,0.39472969,0.205183537,0.379135632,0.392378689,0.513076376,0.379021715,0.165687856,0.491713791,,,0.483791062,,,0.285567735,,0.196786016,0.455097929,0.463013499,0.50610157,0.527094722,0.209745238,0.564905603,0.18836988,0.3847559,0.38561073,0.37962863,0.3243704,0.21783596,0.31100906,0.202025562,0.470793057,0.473200848,0.46837171,0.488612485,0.224623832,0.499904928,0.684454372,0.315545628,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm,1,Training,1,3.586726998,1,2,1,1,0.1696114,0.42348474,0.45709016,0.43299404,0.51750451,0.17404525,0.51393397,0.160364057,0.46940385,0.493582373,0.424412644,0.606537789,0.199040076,0.663635541,,,0.50020945,,,0.210186567,,0.223066484,0.490479841,0.48666739,0.517412958,0.557272336,0.231213276,0.567446762,0.16373386,0.30574435,0.36619959,0.31517265,0.72075174,0.16617525,0.71703634,0.205750116,0.480253829,0.504499219,0.494816472,0.539159018,0.207527415,0.54265559,0.591104304,0.408895696,Bad
Training Set for Newloandemo_4344,Good,30,Yes,Savings,Zenith Bank,Low,3,Low - 28,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.25739228,0.55405302,0.63031723,0.54605401,0.65237094,0.27244382,0.66300875,0.230126456,0.577143222,0.57378945,0.577275126,0.589483869,0.198591661,0.373804588,,,0.499169219,,,0.22050847,,0.295812549,0.532740742,0.750638125,0.353131644,0.624480783,0.298496497,0.639719015,0.16449924,0.59004962,0.74405011,0.55073758,0.64528018,0.16373748,0.66500416,0.218200225,0.508665192,0.508422959,0.509879976,0.543051049,0.230416963,0.526937221,0.217446261,0.782553739,Good
Training Set for Newloandemo_4344,Bad,15,No,Savings,First Bank,High,9,36 - High,61.13 - High,Norm,1,Training,1,3.586726998,1,3,1,1,0.39228901,0.69786568,0.66012776,0.72799149,0.72270734,0.41523454,0.71315037,0.296990581,0.518420537,0.555493404,0.562087795,0.543386213,0.252542229,0.498254098,,,0.601226651,,,0.309556596,,0.277313265,0.561063143,0.423938227,0.579820306,0.65838727,0.324132589,0.594188615,0.02495837,0.53891934,0.66635424,0.49004837,0.53715141,0.0322274,0.38269108,0.300697701,0.576889857,0.598927319,0.596372872,0.678155016,0.336110928,0.684916006,0.660959378,0.339040622,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,Skye Bank,High,9,32 - 36,60.17 - 60.23,Norm,0,Validation,1,1,1,1,1,1,0.47312454,0.76262288,0.5821435,0.71553412,0.72073067,0.50496839,0.70438185,0.258299959,0.548845725,0.505728476,0.651585772,0.634209987,0.37070537,0.659349201,,,0.518781467,,,0.323700622,,0.266260179,0.532889985,0.567500584,0.599160777,0.631952496,0.267707234,0.624389282,0.85735556,0.70971546,0.60779955,0.67017737,0.66916109,0.88042254,0.66111949,0.195775064,0.368312958,0.310863063,0.397815498,0.087017259,0.171780532,0.097695972,0.537788553,0.462211447,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,GT Bank,Low,3,28 - 32,Low - 60.17,Norm,1,Validation,1,3.586726998,1,4,1,1,0.1696114,0.42348474,0.45709016,0.43299404,0.51750451,0.17404525,0.51393397,0.160364057,0.46940385,0.493582373,0.424412644,0.606537789,0.199040076,0.663635541,,,0.50020945,,,0.210186567,,0.223066484,0.490479841,0.48666739,0.517412958,0.557272336,0.231213276,0.567446762,0.16373386,0.30574435,0.36619959,0.31517265,0.72075174,0.16617525,0.71703634,0.205750116,0.480253829,0.504499219,0.494816472,0.539159018,0.207527415,0.54265559,0.591104304,0.408895696,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,Stanbic IBTC,Low,3,36 - High,60.17 - 60.23,Norm,0,Training,1,1,0,1,0,1,0.14475423,0.37789472,0.39895555,0.41289862,0.42740104,0.16046924,0.42535871,0.195337319,0.364141335,0.427178866,0.408367117,0.489587504,0.192247377,0.632381292,,,0.621825327,,,0.472684887,,0.328031249,0.574095914,0.594911316,0.636882775,0.699910904,0.303851549,0.633756011,0.16427771,0.54265556,0.58122416,0.59935968,0.46475369,0.26463498,0.44260676,0.194603054,0.455670251,0.473200848,0.485405867,0.545139887,0.214442561,0.559092189,0.695563038,0.304436962,Bad
Training Set for Newloandemo_4344,Good,15,Yes,Savings,Skye Bank,Low,3,36 - High,60.17 - 60.23,Norm,0,Validation,1,1,1,1,1,1,0.23357235,0.52156657,0.51662341,0.41438862,0.50875749,0.25058253,0.49914404,0.236357109,0.591621534,0.516617814,0.418622653,0.617730419,0.252247965,0.47315132,,,0.343551655,,,0.167735714,,0.025119197,0.155042782,0.060344751,0.128229974,0.338293655,0.028915197,0.139221752,0.09276027,0.44947309,0.35346186,0.34676523,0.29091739,0.06088654,0.24234305,0.213335154,0.507926167,0.508422959,0.503665819,0.316399933,0.22800784,0.273367535,0.25831975,0.74168025,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,GT Bank,Low,1,36 - High,61.13 - High,Norm,0,Validation,1,1,1,1,0,1,0.16881541,0.42151495,0.51779483,0.46517912,0.53316333,0.17140229,0.52732777,0.143964557,0.406085226,0.512264064,0.600572911,0.481158445,0.182153159,0.58448437,,,0.553302184,,,0.250491781,,0.219472731,0.179244619,0.518085595,0.280643931,0.57674479,0.238296177,0.555655864,0.14146337,0.19424462,0.42875448,0.26129822,0.65291271,0.11112955,0.65747811,0.190815153,0.463269411,0.498090759,0.477116332,0.505462289,0.191644724,0.507815529,0.433270421,0.566729579,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,First Bank,Low,3,Low - 28,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.29454225,0.60007112,0.59404253,0.61579249,0.69117397,0.31094227,0.70454484,0.25269163,0.574616032,0.616867987,0.580635879,0.678184595,0.361122077,0.680595689,,,0.531651288,,,0.321896819,,0.052835038,0.360058868,0.596875727,0.301924809,0.71810382,0.028450212,0.720508155,0.16587468,0.77159862,0.7166668,0.76659543,0.82877837,0.18872082,0.85758006,0.245577332,0.540721945,0.532525987,0.575070816,0.740804876,0.278366127,0.756995426,0.640823543,0.359176458,Bad
Training Set for Newloandemo_4344,Bad,15,No,Savings,GT Bank,Low,3,Low - 28,60.23 - 61.13,Norm,1,Validation,1,3.586726998,1,3,1,1,0.22336946,0.50834131,0.51944017,0.50437721,0.63136124,0.23313173,0.63995297,0.184872793,0.513159977,0.54351681,0.45875677,0.709676712,0.256476219,0.655180647,,,0.600420651,,,0.219946917,,0.218329272,0.511672044,0.581347358,0.51021482,0.629104061,0.259364424,0.6301177,0.16371841,0.48121296,0.59725702,0.46672602,0.73727322,0.16344115,0.7444698,0.217277893,0.502727934,0.504499219,0.491387503,0.656377639,0.22405774,0.663457922,0.679744914,0.320255086,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,EcoBank,High,9,36 - High,60.17 - 60.23,Norm,1,Validation,1,3.586726998,1,3,1,1,0.5623652,0.82152758,0.70331198,0.86041123,0.81495148,0.59549148,0.81435873,0.34083957,0.676364134,0.614945509,0.776407611,0.732721291,0.345779639,0.527585195,,,0.641048766,,,0.352758512,,0.343419918,0.653010338,0.717574059,0.205955984,0.64386264,0.307770279,0.634938555,0.34865789,0.64310552,0.67793286,0.67717847,0.64263889,0.38769086,0.6628932,0.209393878,0.496043214,0.503034264,0.52024911,0.66453221,0.200724504,0.681540719,0.7494815,0.2505185,Bad
Training Set for Newloandemo_4344,Good,15,No,Savings,First Bank,High,9,36 - High,Low - 60.17,Norm,0,Training,1,1,0,1,1,1,0.40653285,0.71047492,0.64381822,0.72436086,0.72101296,0.43182251,0.71313902,0.346133791,0.562315072,0.588673506,0.570240373,0.634902885,0.343015636,0.609174535,,,0.715209377,,,0.320246969,,0.290508347,0.561063143,0.502675526,0.618921414,0.60031437,0.33411851,0.588215286,0.18304011,0.71560908,0.72008898,0.74917077,0.72767029,0.26554682,0.67144511,0.300697701,0.576889857,0.598927319,0.596372872,0.635582997,0.336110928,0.626274414,0.754138232,0.245861768,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,GT Bank,High,6,28 - 32,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.33062699,0.63965736,0.5876431,0.6829319,0.71454331,0.34177349,0.71469159,0.301293586,0.749065165,0.556591166,0.741914933,0.731626259,0.35127306,0.6868545,,,0.507174453,,,0.308178435,,0.40617471,0.590332625,0.566268222,0.537381065,0.870100822,0.329669077,0.788145397,0.69613527,0.52096359,0.52855058,0.47051769,0.66519814,0.70731291,0.68749456,0.23497477,0.52759891,0.514108479,0.535563677,0.624909403,0.250556264,0.625356838,0.649507666,0.350492334,Bad
Training Set for Newloandemo_4344,Bad,15,No,Other,Diamond Bank,Low,3,Low - 28,60.23 - 61.13,Norm,1,Training,1,3.586726998,1,2,1,1,0.10295022,0.29132315,0.2372607,0.26159057,0.38005675,0.10705703,0.38678575,0.137663821,0.239295726,0.263865575,0.192113903,0.439010859,0.151435718,0.607275587,,,0.437463773,,,0.299756596,,0.150188523,0.447890158,0.402795687,0.564167815,0.706806519,0.227877062,0.835294652,0.3460321,0.37147916,0.27698072,0.27534258,0.54460018,0.37735717,0.57472545,0.175283858,0.445939642,0.428907423,0.393449452,0.494779374,0.188430685,0.486873916,0.688434245,0.311565755,Bad
Training Set for Newloandemo_4344,Good,30,Yes,Savings,Fidelity Bank,Low,3,36 - High,60.23 - 61.13,Norm,0,Validation,1,1,0,1,1,1,0.29771935,0.60289066,0.77167846,0.56567889,0.61443688,0.30967099,0.62549301,0.243322369,0.741383932,0.712465861,0.706743778,0.552146925,0.352532318,0.667951526,,,0.655582421,,,0.345310549,,0.204855403,0.502516239,0.728340263,0.323572822,0.53589957,0.244906584,0.5879956,0.3163571,0.62480961,0.74676534,0.52162846,0.53737791,0.30218282,0.54179481,0.218200225,0.508665192,0.508422959,0.509879976,0.629534503,0.230416963,0.584610049,0.418070939,0.581929062,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,EcoBank,Low,3,32 - 36,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.20505352,0.48077597,0.42195639,0.46488416,0.50311589,0.22127392,0.5068413,0.219969606,0.485714637,0.433004218,0.571583593,0.514183146,0.226471044,0.276931176,,,0.54260488,,,0.09060291,,0.180632621,0.470992181,0.627755938,0.466037565,0.15596928,0.193976789,0.296228244,0.16534518,0.43436304,0.44407029,0.47345205,0.39548713,0.16523212,0.38013056,0.241971701,0.507678777,0.501638907,0.507918953,0.406517645,0.284661697,0.392174216,0.228580854,0.771419146,Good
Training Set for Newloandemo_4344,Good,15,Yes,Savings,First Bank,Low,3,32 - 36,61.13 - High,Norm,0,Training,1,1,0,1,1,1,0.15121742,0.38926027,0.50353385,0.39015,0.45541191,0.15868412,0.45619392,0.156553031,0.434085306,0.482155686,0.286535048,0.550647176,0.158690718,0.501679427,,,0.539278962,,,0.181889933,,0.191274512,0.467053768,0.794850341,0.459022493,0.443150657,0.205072849,0.453030766,0.16388053,0.35779674,0.33398215,0.28482082,0.527694,0.1649573,0.57424207,0.212494024,0.500648644,0.508422959,0.492593557,0.540029263,0.220760164,0.596004842,0.413675714,0.586324286,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,Low,3,36 - High,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.16868546,0.42175069,0.47247643,0.41068939,0.52841183,0.1725458,0.52837441,0.171734476,0.490710872,0.486805769,0.396918672,0.498152531,0.187061284,0.547630879,,,0.643963271,,,0.353820924,,0.203884208,0.469683096,0.55769271,0.466037565,0.550245861,0.218297172,0.554216527,0.16582506,0.36823198,0.48144963,0.38939074,0.6548847,0.16425525,0.64274389,0.20028609,0.472254668,0.504499219,0.480108336,0.566457263,0.199383751,0.579560629,0.621670627,0.378329374,Bad
Training Set for Newloandemo_4344,Good,15,No,Savings,Zenith Bank,Low,3,28 - 32,60.23 - 61.13,Norm,0,Training,1,1,0,1,0,0,0.1609136,0.40787688,0.4346437,0.3667825,0.48201233,0.16800166,0.47935434,0.230149339,0.574968102,0.459702584,0.569139503,0.57635738,0.228987388,0.550063548,,,0.428486517,,,0.253312846,,0.203884208,0.482079303,0.513112949,0.466037565,0.550020013,0.218297172,0.557523563,0.12747471,0.31645274,0.46919796,0.36091309,0.67444411,0.13722495,0.70013271,0.212494024,0.500648644,0.508422959,0.492593557,0.538537931,0.221626281,0.543245489,0.747148914,0.252851087,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,UBA,Low,3,36 - High,61.13 - High,Norm,0,Training,1,1,0,1,1,0,0.18645416,0.45140721,0.4777953,0.46167599,0.53406014,0.19721831,0.53593846,0.175019175,0.404137353,0.472698878,0.649168413,0.41482739,0.237302863,0.68069579,,,0.699765583,,,0.317835321,,0.219472731,0.50290442,0.561745265,0.517412958,0.541530828,0.238296177,0.542468895,0.16659222,0.52177732,0.66715797,0.4766081,0.73729522,0.16494127,0.7445463,0.218200225,0.508665192,0.575057211,0.509879976,0.529041377,0.232647072,0.525598323,0.676865047,0.323134953,Bad
Training Set for Newloandemo_4344,Good,15,No,Savings,Access Bank,High,9,36 - High,60.23 - 61.13,Norm,0,Training,1,1,1,1,1,0,0.45872834,0.75224241,0.69616283,0.7489311,0.7704241,0.48033064,0.7655089,0.351618998,0.532413701,0.606538239,0.56386784,0.58131365,0.259453993,0.504540061,,,0.488080569,,,0.30273949,,0.171977465,0.424127888,0.502675526,0.453060286,0.603388712,0.178627439,0.603549576,0.16533563,0.59470429,0.59204885,0.60937583,0.73731884,0.18369713,0.72059622,0.177079667,0.447830644,0.457445258,0.437230272,0.539806137,0.187397899,0.54509646,0.808014244,0.191985756,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,GT Bank,Low,3,32 - 36,60.23 - 61.13,Norm,0,Validation,1,1,0,1,1,1,0.16759431,0.41992597,0.44960669,0.42244103,0.52858148,0.17074963,0.53048785,0.164487452,0.452825386,0.464449411,0.41438214,0.579894692,0.173150676,0.534080054,,,0.600674382,,,0.171278748,,0.21672975,0.490479841,0.480330222,0.511553067,0.530640288,0.222330091,0.543462684,0.16458863,0.24227917,0.34913248,0.2260685,0.6482777,0.16561659,0.64755906,0.198834252,0.466315711,0.490783587,0.487284865,0.511187917,0.198974017,0.494456508,0.545892066,0.454107934,Bad
Training Set for Newloandemo_4344,Bad,15,No,Savings,Zenith Bank,High,9,36 - High,60.23 - 61.13,Norm,1,Validation,1,3.586726998,1,3,1,1,0.37493669,0.68234522,0.62295944,0.68275161,0.70940501,0.39741193,0.69987114,0.231156961,0.566556312,0.50421416,0.57727512,0.596142526,0.361379724,0.569972382,,,0.259297277,,,0.124095739,,0.171977465,0.424127888,0.447483588,0.267662445,0.60124524,0.178627439,0.602065352,0.10067286,0.24716032,0.47048538,0.25648365,0.66151696,0.13381908,0.60992671,0.215625338,0.505152594,0.508422959,0.509186287,0.641510167,0.226448487,0.661683223,0.542838115,0.457161885,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,Access Bank,Low,3,Low - 28,61.13 - High,Norm,0,Training,1,1,0,1,1,1,0.28155917,0.58462623,0.65238184,0.61280974,0.68525682,0.2934553,0.68926405,0.27338681,0.632626497,0.642498196,0.584405044,0.591625761,0.283281989,0.560203739,,,0.551417045,,,0.076464753,,0.225604812,0.504280695,0.499660481,0.336158851,0.190058932,0.230961024,0.298006582,0.12320474,0.44546856,0.69848202,0.39965713,0.67883649,0.12204044,0.67377865,0.19524712,0.446061335,0.568114663,0.469872738,0.542747202,0.199169614,0.56251409,0.301915149,0.698084851,Good
Training Set for Newloandemo_4344,Bad,15,No,Savings,GT Bank,Low,3,32 - 36,61.13 - High,Norm,1,Training,1,3.586726998,1,3,1,1,0.11906346,0.32659174,0.3990036,0.34818762,0.42566442,0.1217671,0.41835326,0.141251374,0.383568672,0.407714296,0.314406176,0.322534817,0.123794783,0.489710356,,,0.413613496,,,0.297909315,,0.196365836,0.458628613,0.430005339,0.46194456,0.487551496,0.208849487,0.542035905,0.16399989,0.20576397,0.24277012,0.22606382,0.13923753,0.16380369,0.12770807,0.193509141,0.458343977,0.490783587,0.470029846,0.338379248,0.191085067,0.29338612,0.440421821,0.559578179,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,Zenith Bank,Low,3,36 - High,60.23 - 61.13,Norm,0,Training,1,1,0,1,0,1,0.16590531,0.41671809,0.48020981,0.38915454,0.49985457,0.17253324,0.4967358,0.230127665,0.557729463,0.491650212,0.512059409,0.513115032,0.259570382,0.647770048,,,0.526536754,,,0.307656079,,0.203884208,0.482079303,0.55769271,0.466037565,0.550245861,0.218297172,0.568180904,0.16572325,0.35859376,0.50585666,0.39344454,0.73729909,0.18821928,0.7444107,0.212494024,0.500648644,0.508422959,0.492593557,0.516141063,0.221626281,0.515376498,0.834840311,0.165159689,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,Access Bank,High,9,36 - High,60.23 - 61.13,Norm,1,Training,1,3.586726998,1,2,1,1,0.50641848,0.78624177,0.73684811,0.79453809,0.80779908,0.52655468,0.80452547,0.361098404,0.529912693,0.642009946,0.564115043,0.69742107,0.312417453,0.692086919,,,0.630967996,,,0.319045929,,0.245842727,0.538555216,0.521685501,0.566367089,0.576786096,0.262273628,0.610482254,0.10264192,0.75386569,0.70583247,0.78529319,0.73720316,0.09488242,0.74454185,0.253091525,0.549847315,0.547990559,0.564116091,0.656018645,0.262143988,0.652499891,0.676952869,0.323047131,Bad
Training Set for Newloandemo_4344,Good,15,No,Other,EcoBank,Low,1,Low - 28,Low - 60.17,Norm,0,Validation,1,1,0,1,1,1,0.17509463,0.43156835,0.36205461,0.42086525,0.42846693,0.19346803,0.43148091,0.183006189,0.397269519,0.411205378,0.407647743,0.313486275,0.230823914,0.557901107,,,0.174237783,,,0.208846516,,0.135547887,0.082471014,0.032901479,0.130954825,0.096606455,0.049169831,0.297636455,0.23027576,0.45754761,0.32289346,0.46400201,0.37083879,0.34407487,0.39711826,0.207886103,0.411858449,0.311534246,0.40209028,0.57672858,0.248074018,0.6250413,0.378969508,0.621030492,Good
Training Set for Newloandemo_4344,Bad,30,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm,1,Validation,1,3.586726998,1,3,1,1,0.1914911,0.46001844,0.47667336,0.45097971,0.56646295,0.1954888,0.56850309,0.175965657,0.490823778,0.47628152,0.428091756,0.571329576,0.199702517,0.623141089,,,0.363729649,,,0.179731885,,0.223066484,0.490479841,0.48666739,0.511553067,0.561065273,0.231213276,0.567446762,0.16432817,0.24946402,0.31312937,0.22608899,0.73563213,0.16355192,0.73516831,0.205750116,0.480253829,0.504499219,0.494816472,0.557746015,0.207527415,0.571017778,0.676819941,0.323180059,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,GT Bank,Med,2,28 - 32,60.17 - 60.23,Norm,0,Training,1,1,1,1,1,1,0.15887615,0.40326447,0.42929915,0.43213935,0.53152042,0.17093508,0.52794708,0.264814376,0.394500908,0.543141867,0.404319665,0.570526964,0.258464882,0.701434446,,,0.376724179,,,0.134393409,,0.219821453,0.48673941,0.395070809,0.515996148,0.334786916,0.239396868,0.438773095,0.16434413,0.24051705,0.33140643,0.22610706,0.66596199,0.16543165,0.64806399,0.202877886,0.493546488,0.501295042,0.488256628,0.599213498,0.215079349,0.615829463,0.492044997,0.507955003,Good
Training Set for Newloandemo_4344,Bad,15,No,Savings,GT Bank,Med,2,32 - 36,Low - 60.17,Norm,1,Validation,1,3.586726998,1,2,1,1,0.09278727,0.26767653,0.31513772,0.27032498,0.35969053,0.10129811,0.34751164,0.204555101,0.394334509,0.471941534,0.403937827,0.521665012,0.176245244,0.458496199,,,0.424865864,,,0.149491067,,0.205441758,0.460567834,0.491176948,0.533605323,0.477507605,0.220252137,0.425276352,0.2417263,0.28142094,0.33480441,0.27727102,0.34857134,0.2910966,0.32144033,0.19252155,0.472317339,0.487580803,0.469684663,0.476601073,0.200902679,0.475901361,0.625215476,0.374784525,Bad
Training Set for Newloandemo_4344,Good,30,No,Other,Zenith Bank,High,3,36 - High,Low - 60.17,Norm,0,Validation,1,1,1,1,1,1,0.14616678,0.38008865,0.40799611,0.37555629,0.4091529,0.15317061,0.39622435,0.230114776,0.49762217,0.436267196,0.490620705,0.448859419,0.287257609,0.316801253,,,0.252059437,,,0.041678895,,0.012467087,0.089015227,0.177706533,0.080014267,0.008405356,0.08289573,0.003092632,0.04725621,0.24854557,0.37768405,0.2354599,0.1137587,0.05361788,0.11439925,0.124704123,0.340264522,0.389115574,0.356951681,0.2604786,0.119930464,0.252150512,0.139451546,0.860548454,Good
Training Set for Newloandemo_4344,Good,30,No,Other,First Bank,High,9,Low - 28,60.17 - 60.23,Norm,0,Training,1,1,0,1,1,1,0.45255907,0.74722504,0.62745058,0.77495,0.76655029,0.48049343,0.77003254,0.238697001,0.466596202,0.542660302,0.443138392,0.724714788,0.348537028,0.550883202,,,0.431269732,,,0.188456592,,0.120444736,0.405860985,0.230181355,0.384931512,0.086036746,0.171376915,0.49393766,0.16550125,0.34025646,0.43942659,0.37665004,0.28879785,0.16506364,0.2922737,0.311509084,0.557601425,0.559600441,0.630215312,0.521442086,0.346645048,0.545400708,0.482107423,0.517892577,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,GT Bank,Med,6,28 - 32,Low - 60.17,Norm,0,Validation,1,1,1,1,0,0,0.1524724,0.39169378,0.41675699,0.40510327,0.50066279,0.16651646,0.48679866,0.263725597,0.431975535,0.525547182,0.411955259,0.664519139,0.197703581,0.556505102,,,0.530606903,,,0.242707344,,0.223066484,0.490479841,0.491780434,0.522200687,0.857272257,0.231213276,0.587089993,0.15177082,0.34649033,0.40793427,0.26589399,0.7373205,0.1634798,0.74440605,0.230964209,0.520337577,0.514108479,0.517745631,0.541980918,0.243435206,0.548072662,0.810117469,0.189882531,Bad
Training Set for Newloandemo_4344,Good,30,No,Other,First Bank,High,3,Low - 28,60.17 - 60.23,Norm,0,Training,1,1,0,1,1,0,0.29412178,0.59894377,0.54148872,0.61941706,0.65387463,0.31101191,0.66393192,0.228863267,0.491156814,0.544329212,0.533360751,0.677052422,0.380008952,0.841677106,,,0.538050152,,,0.194324166,,0.024092604,0.099078177,0.271624835,0.164052936,0.595576037,0.171376915,0.692306863,0.68795502,0.52692267,0.48820375,0.51263533,0.52618282,0.60981339,0.57026559,0.311509084,0.557601425,0.559600441,0.630215312,0.577871904,0.346645048,0.646251554,0.578771155,0.421228845,Bad
Training Set for Newloandemo_4344,Good,30,No,Other,GT Bank,Low,1,Low - 28,Low - 60.17,Norm,0,Validation,1,1,0,1,1,1,0.14212981,0.37247854,0.38841722,0.37959015,0.45360341,0.14808541,0.45485438,0.138313828,0.398637231,0.442188485,0.398603231,0.613617322,0.208859317,0.607062385,,,0.415041793,,,0.134437399,,0.175279127,0.470417374,0.572618192,0.435558368,0.488011277,0.188795935,0.578498284,0.16416158,0.31513917,0.23753108,0.30218089,0.61864884,0.16586033,0.6399852,0.156646086,0.409297048,0.41881441,0.384818454,0.513968754,0.162005161,0.554441531,0.35148773,0.64851227,Good
